theme,sub_theme,topic,geography_type,geography,metric,sex,age,stratum,year,date,metric_value,in_reporting_delay_period
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2026,2026-02-23,39.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2026,2026-02-23,14.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2026,2026-02-16,41.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2026,2026-02-16,27.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2026,2026-02-09,42.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2026,2026-02-09,34.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2026,2026-02-02,22.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2026,2026-02-02,15.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2026,2026-01-26,32.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2026,2026-01-26,22.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2026,2026-01-19,25.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2026,2026-01-19,15.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2026,2026-01-12,33.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2026,2026-01-12,25.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2026,2026-01-05,10.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2026,2026-01-05,5.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-12-29,12.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-12-29,5.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-12-22,11.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-12-22,4.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-12-15,11.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-12-15,6.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-12-08,13.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-12-08,8.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-12-01,20.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-12-01,12.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-11-24,14.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-11-24,12.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-11-17,20.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-11-17,8.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-11-10,16.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-11-10,7.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-11-03,13.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-11-03,6.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-10-27,8.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-10-27,5.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-10-20,12.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-10-20,7.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-10-13,7.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-10-13,1.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-10-06,15.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-10-06,2.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-09-29,9.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-09-29,4.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-09-22,6.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-09-22,3.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-09-15,9.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-09-15,6.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-09-08,7.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-09-08,4.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-09-01,6.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-09-01,5.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-08-25,7.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-08-25,5.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-08-18,4.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-08-18,3.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-08-11,15.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-08-11,8.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-08-04,17.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-08-04,14.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-07-28,18.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-07-28,15.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-07-21,15.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-07-21,11.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-07-14,39.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-07-14,30.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-07-07,28.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-07-07,20.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-06-30,35.0000,False
