region,conditioning_start,origin_date,recent_transmission_multiplier,initial_exposed_per_case,initial_infectious_per_case,origin_exposed_total,origin_infectious_total,origin_sick_total,conditioning_objective,optimizer_success,national_recent_log_slope,raw_model_log_slope,national_trend_weight,trend_correction_week_1,trend_correction_week_6
North East,2026-04-13,2026-05-04,0.9873578301367307,9.644352988189674e-14,4.034386150142975e-05,2.775036406879063,0.5012966302648476,0.9333935249379665,0.33840542747065294,True,0.15852302523782924,0.11271542678287502,1.0,1.037325824224768,1.144763019209604
North West,2026-04-13,2026-05-04,1.0214796400964679,2.074158377205789,0.041301115381520696,13.606384382936936,2.6864128332672212,6.84956087022026,0.05801283382738107,True,0.15852302523782924,-0.007222467645534305,1.0,1.1417890727507367,1.630986792132154
Yorkshire and The Humber,2026-04-13,2026-05-04,1.0169944565406033,1.585096579725136,0.15032586680469734,8.254400972243332,1.591492302297524,3.8559391985998506,0.03031713820120448,True,0.15852302523782924,0.007677842464923005,1.0,1.1282594621008006,1.5608149562715545
East Midlands,2026-04-13,2026-05-04,0.9763991228166812,2.3255791667980177e-14,0.21566682485699493,5.197361312316262,0.9402596949892487,1.8071283108990217,0.31107756764334676,True,0.15852302523782924,0.09247934668218344,1.0,1.0542556183240541,1.215217287118248
West Midlands,2026-04-13,2026-05-04,1.047863533699956,2.748726048203581,2.155477139452418e-06,18.28156847245778,3.777093131513764,10.701879527277837,0.1255874309146393,True,0.15852302523782924,-0.0645544582208015,1.0,1.1953774422484549,1.9316918758843498
East of England,2026-04-13,2026-05-04,1.018436203085982,1.8293016541402363,0.0956362627985792,10.226871304746496,1.9946465476753903,4.957184944113768,0.04350051296900059,True,0.15852302523782924,0.008635123338121511,1.0,1.1273957439089166,1.5564113444046537
South East,2026-04-13,2026-05-04,0.9818219442229238,1.8658370678434506e-13,4.034386155875888e-05,9.70144975939393,1.7475656595828695,3.1811002919978826,0.961554497564074,True,0.15852302523782924,0.20182594657409397,1.0,0.965950839289748,0.88002471973016
South West,2026-04-13,2026-05-04,0.9862140589496136,1.7061861259837385e-13,4.034386154860299e-05,5.8415610167417515,1.0551740187308778,1.9440558788646898,0.6344805835794675,True,0.15852302523782924,0.1681287652244058,1.0,0.9923448589998622,0.972047495984293
