date,observed_cases,conditioned_expected_cases,residual,fit_weight,region
2026-04-20,0.22881355932203348,0.15845380424653338,-0.0703597550755001,1.0,North East
2026-04-27,0.296610169491525,0.6270593077541682,0.33044913826264316,1.0,North East
2026-05-04,0.372881355932203,1.0154374918352032,0.6425561359030001,4.0,North East
2026-04-20,3.98135593220339,3.9661258689169108,-0.015230063286479023,1.0,North West
2026-04-27,5.161016949152542,5.927603022564681,0.7665860734121388,1.0,North West
2026-05-04,6.488135593220339,6.207230420065249,-0.28090517315509,4.0,North West
2026-04-20,2.242372881355932,2.2358854261809267,-0.006487455175005152,1.0,Yorkshire and The Humber
2026-04-27,2.906779661016949,3.1473389606641415,0.24055929964719258,1.0,Yorkshire and The Humber
2026-05-04,3.654237288135593,3.56169647755672,-0.09254081057887298,4.0,Yorkshire and The Humber
2026-04-20,0.6406779661016946,0.5007481314222391,-0.13992983467945552,1.0,East Midlands
2026-04-27,0.8305084745762709,1.2045148674711421,0.37400639289487125,1.0,East Midlands
2026-05-04,1.0440677966101692,1.9098333176599458,0.8657655210497766,4.0,East Midlands
2026-04-20,6.361016949152543,7.264899034945629,0.9038820857930867,1.0,West Midlands
2026-04-27,8.245762711864407,10.054160413023322,1.8083977011589152,1.0,West Midlands
2026-05-04,10.366101694915255,9.242918309117275,-1.1231833857979794,4.0,West Midlands
2026-04-20,2.883050847457627,2.8728277926576293,-0.010223054799997744,1.0,East of England
2026-04-27,3.73728813559322,4.169106534668661,0.4318183990754405,1.0,East of England
2026-05-04,4.698305084745763,4.53502774024261,-0.163277344503153,4.0,East of England
2026-04-20,0.3203389830508473,0.5426544976007077,0.22231551454986043,1.0,South East
2026-04-27,0.4152542372881354,2.1618080317002546,1.7465537944121192,1.0,South East
2026-05-04,0.5220338983050846,3.5273337762819197,3.005299877976835,4.0,South East
2026-04-20,0.3203389830508473,0.33187545099882687,0.011536467947979578,1.0,South West
2026-04-27,0.4152542372881354,1.317262392806359,0.9020081555182236,1.0,South West
2026-05-04,0.5220338983050846,2.136726624667456,1.6146927263623714,4.0,South West
