region,origins,mean_brier_score,mean_absolute_error,interval_80_coverage,observed_outbreak_rate,mean_predicted_probability
East Midlands,6,0.016700000000000003,1.3051036295969431,0.7222222222222222,0.0,0.08
East of England,6,0.0183,1.0541203575784033,0.8333333333333334,0.0,0.07666666666666667
North East,6,0.0148,0.6684117797750929,1.0,0.0,0.09000000000000001
North West,6,0.00021666666666666666,1.300696840393025,0.8055555555555555,0.0,0.008333333333333333
South East,6,0.0,2.7568942742970868,0.3055555555555555,0.0,0.0
South West,6,0.00025,1.250148758563334,0.6944444444444445,0.0,0.011666666666666667
West Midlands,6,0.027366666666666664,2.0078999336371943,0.9166666666666666,0.3333333333333333,0.39666666666666667
Yorkshire and The Humber,6,0.0007,0.9650717678698478,0.9166666666666666,0.0,0.02
