parameter,mean,median,std,minimum,maximum
mu,4.340033856808796,4.340033856808796,0.304610706845033,4.035423149963763,4.644644563653829
seed_infections_per_week,0.651476482206344,0.651476482206344,0.29937360143535985,0.3521028807709842,0.9508500836417039
reporting_rate,3.402171511964914e-06,3.402171511964914e-06,6.697921673597201e-07,2.732379344605194e-06,4.071963679324634e-06
local_mixing,0.8094379306758146,0.8094379306758146,0.15351045891047105,0.6559274717653436,0.9629483895862857
protection_multiplier,0.9957429329904235,0.9957429329904235,0.01644542628921486,0.9792975067012086,1.0121883592796383
