date,observed_cases,conditioned_expected_cases,residual,fit_weight
2026-06-29,6.0,5.787748963236899,-0.2122510367631012,1.0
2026-07-06,2.0,6.317766082067319,4.317766082067319,1.0
2026-07-13,10.0,7.228343909265336,-2.7716560907346643,4.0
