age_group,outbreak_probability,mc_95_low,mc_95_high,outbreak_threshold,event_definition,expected_peak_weekly_cases,expected_total_cases,initial_q,initial_e,initial_i
under_1,0.0,2.168404344971009e-19,0.0038267584855551234,15.0,at least one of forecast weeks 1-6 has more than 15 reported cases,1.367,2.658,0.7269981074410161,1.170268993099825,0.23741660191892575
1_to_4,0.0,2.168404344971009e-19,0.0038267584855551234,15.0,at least one of forecast weeks 1-6 has more than 15 reported cases,1.66,3.589,1.407777024113559,1.6574302015681281,0.3483105004730966
5_to_10,0.0,2.168404344971009e-19,0.0038267584855551234,15.0,at least one of forecast weeks 1-6 has more than 15 reported cases,2.892,7.846,1.8697366875407062,3.2076673384827523,0.6378596346539321
11_to_14,0.0,2.168404344971009e-19,0.0038267584855551234,15.0,at least one of forecast weeks 1-6 has more than 15 reported cases,1.308,2.45,0.4905859094901378,0.8656830706274841,0.16946680175143652
15_to_24,0.0,2.168404344971009e-19,0.0038267584855551234,15.0,at least one of forecast weeks 1-6 has more than 15 reported cases,2.099,5.168,0.9643422055497831,1.8098135720082837,0.34944111584272525
25_to_34,0.0,2.168404344971009e-19,0.0038267584855551234,15.0,at least one of forecast weeks 1-6 has more than 15 reported cases,2.754,7.485,1.1480892022800866,2.4786557018219826,0.47132900582538645
35_and_over,0.0,2.168404344971009e-19,0.0038267584855551234,15.0,at least one of forecast weeks 1-6 has more than 15 reported cases,5.302,17.438,2.123930884045496,5.430563619475577,1.0082180254395225
