year,period_start,period_end,complete_year,region,age_group,annual_cases,england_age_cases
2024,2024-01-01,2024-12-31,True,North West,5_to_10,13.0,730.0
2024,2024-01-01,2024-12-31,True,South East,5_to_10,14.0,730.0
2024,2024-01-01,2024-12-31,True,South West,5_to_10,20.0,730.0
2024,2024-01-01,2024-12-31,True,West Midlands,5_to_10,116.0,730.0
2024,2024-01-01,2024-12-31,True,Yorkshire and The Humber,5_to_10,54.0,730.0
2024,2024-01-01,2024-12-31,True,East Midlands,11_to_14,25.0,210.0
2024,2024-01-01,2024-12-31,True,East of England,11_to_14,19.0,210.0
2024,2024-01-01,2024-12-31,True,London,11_to_14,78.0,210.0
2024,2024-01-01,2024-12-31,True,North East,11_to_14,7.0,210.0
2024,2024-01-01,2024-12-31,True,North West,11_to_14,5.0,210.0
2024,2024-01-01,2024-12-31,True,South East,11_to_14,8.0,210.0
2024,2024-01-01,2024-12-31,True,South West,11_to_14,10.0,210.0
2024,2024-01-01,2024-12-31,True,West Midlands,11_to_14,49.0,210.0
2024,2024-01-01,2024-12-31,True,Yorkshire and The Humber,11_to_14,9.0,210.0
2024,2024-01-01,2024-12-31,True,East Midlands,15_to_24,22.0,328.0
2024,2024-01-01,2024-12-31,True,East of England,15_to_24,28.0,328.0
2024,2024-01-01,2024-12-31,True,London,15_to_24,122.0,328.0
2024,2024-01-01,2024-12-31,True,North East,15_to_24,4.0,328.0
2024,2024-01-01,2024-12-31,True,North West,15_to_24,12.0,328.0
2024,2024-01-01,2024-12-31,True,South East,15_to_24,16.0,328.0
2024,2024-01-01,2024-12-31,True,South West,15_to_24,24.0,328.0
2024,2024-01-01,2024-12-31,True,West Midlands,15_to_24,84.0,328.0
2024,2024-01-01,2024-12-31,True,Yorkshire and The Humber,15_to_24,16.0,328.0
2024,2024-01-01,2024-12-31,True,East Midlands,25_to_34,16.0,322.0
2024,2024-01-01,2024-12-31,True,East of England,25_to_34,29.0,322.0
2024,2024-01-01,2024-12-31,True,London,25_to_34,144.0,322.0
2024,2024-01-01,2024-12-31,True,North East,25_to_34,8.0,322.0
2024,2024-01-01,2024-12-31,True,North West,25_to_34,17.0,322.0
2024,2024-01-01,2024-12-31,True,South East,25_to_34,26.0,322.0
2024,2024-01-01,2024-12-31,True,South West,25_to_34,19.0,322.0
2024,2024-01-01,2024-12-31,True,West Midlands,25_to_34,47.0,322.0
2024,2024-01-01,2024-12-31,True,Yorkshire and The Humber,25_to_34,16.0,322.0
2024,2024-01-01,2024-12-31,True,East Midlands,35_and_over,13.0,279.0
2024,2024-01-01,2024-12-31,True,East of England,35_and_over,22.0,279.0
2024,2024-01-01,2024-12-31,True,London,35_and_over,121.0,279.0
2024,2024-01-01,2024-12-31,True,North East,35_and_over,9.0,279.0
2024,2024-01-01,2024-12-31,True,North West,35_and_over,18.0,279.0
2024,2024-01-01,2024-12-31,True,South East,35_and_over,26.0,279.0
2024,2024-01-01,2024-12-31,True,South West,35_and_over,19.0,279.0
2024,2024-01-01,2024-12-31,True,West Midlands,35_and_over,39.0,279.0
2024,2024-01-01,2024-12-31,True,Yorkshire and The Humber,35_and_over,12.0,279.0
2025,2025-01-01,2025-12-31,True,East Midlands,under_1,6.0,117.0
