level_id,parameter,parameter_value,baseline_value,is_baseline,tested_lower,tested_upper
gamma:0,gamma,0.05555555555555555,0.0662422700018592,False,0.05555555555555555,0.07949072400223103
gamma:1,gamma,0.059544750296668135,0.0662422700018592,False,0.05555555555555555,0.07949072400223103
gamma:2,gamma,0.06353394503778072,0.0662422700018592,False,0.05555555555555555,0.07949072400223103
gamma:3,gamma,0.0662422700018592,0.0662422700018592,True,0.05555555555555555,0.07949072400223103
gamma:4,gamma,0.06752313977889329,0.0662422700018592,False,0.05555555555555555,0.07949072400223103
gamma:5,gamma,0.07151233452000587,0.0662422700018592,False,0.05555555555555555,0.07949072400223103
gamma:6,gamma,0.07550152926111844,0.0662422700018592,False,0.05555555555555555,0.07949072400223103
gamma:7,gamma,0.07949072400223103,0.0662422700018592,False,0.05555555555555555,0.07949072400223103
local_mixing:0,local_mixing,0.30268526552295555,0.3783565819036944,False,0.30268526552295555,0.4540278982844333
local_mixing:1,local_mixing,0.3279090376498685,0.3783565819036944,False,0.30268526552295555,0.4540278982844333
local_mixing:2,local_mixing,0.35313280977678146,0.3783565819036944,False,0.30268526552295555,0.4540278982844333
local_mixing:3,local_mixing,0.3783565819036944,0.3783565819036944,True,0.30268526552295555,0.4540278982844333
local_mixing:4,local_mixing,0.4035803540306074,0.3783565819036944,False,0.30268526552295555,0.4540278982844333
local_mixing:5,local_mixing,0.42880412615752034,0.3783565819036944,False,0.30268526552295555,0.4540278982844333
local_mixing:6,local_mixing,0.4540278982844333,0.3783565819036944,False,0.30268526552295555,0.4540278982844333
contact_scale:0,contact_scale,0.12643658673651312,0.1580457334206414,False,0.12643658673651312,0.1896548801047697
contact_scale:1,contact_scale,0.13697296896455588,0.1580457334206414,False,0.12643658673651312,0.1896548801047697
contact_scale:2,contact_scale,0.14750935119259864,0.1580457334206414,False,0.12643658673651312,0.1896548801047697
contact_scale:3,contact_scale,0.1580457334206414,0.1580457334206414,True,0.12643658673651312,0.1896548801047697
