age_group,outcome,parameter,spearman_rho,association_share,association_allocated_variance,screening_importance_share,screening_allocated_parameter_variance,sensitivity_rank
5_to_10,cumulative_cases,beta_0,0.06795955388063271,0.00364958139571481,0.3959854685582336,0.00364958139571481,0.3959854685582336,18
5_to_10,cumulative_cases,psi,0.06181366630335084,0.0030193330585268326,0.3276025073226072,0.0030193330585268326,0.3276025073226072,19
5_to_10,cumulative_cases,nu,0.04646039221596977,0.0017057200680279073,0.185073378870324,0.0017057200680279073,0.185073378870324,20
5_to_10,cumulative_cases,eta,-0.04519001321954838,0.0016137154321686522,0.1750907274673345,0.0016137154321686522,0.1750907274673345,21
5_to_10,cumulative_cases,seed_infections_per_week,0.03171941791515217,0.0007950463230675866,0.08626380853844658,0.0007950463230675866,0.08626380853844658,22
5_to_10,cumulative_cases,dt,-0.016995610898069988,0.00022825251675433374,0.02476576626094349,0.00022825251675433374,0.02476576626094349,23
5_to_10,final_week_cases,contact_scale,0.5124963161996697,0.20733561260008607,2.2485608200652676,0.20733561260008607,2.2485608200652676,1
5_to_10,final_week_cases,mu,0.4902447189314579,0.18972224548780858,2.0575433354111294,0.18972224548780858,2.0575433354111294,2
5_to_10,final_week_cases,seasonal_period_weeks,0.44837955611437225,0.15870258967910789,1.721134255327579,0.15870258967910789,1.721134255327579,3
5_to_10,final_week_cases,sigma,0.43827091613126923,0.15162740814534295,1.6444037033873353,0.15162740814534295,1.6444037033873353,4
5_to_10,final_week_cases,local_mixing,0.398397152529649,0.12529243787567074,1.3588001758342303,0.12529243787567074,1.3588001758342303,5
5_to_10,final_week_cases,sick_contact_multiplier,0.2953651327754627,0.06886695187610854,0.7468641196947643,0.06886695187610854,0.7468641196947643,6
5_to_10,final_week_cases,phi,-0.17037335874153792,0.022913729321653562,0.24850006879247294,0.022913729321653562,0.24850006879247294,7
5_to_10,final_week_cases,noise_scale,0.14935494115991468,0.017608874504737547,0.19096876219316028,0.017608874504737547,0.19096876219316028,8
5_to_10,final_week_cases,sick_mobility_multiplier,0.12061126800105448,0.011483338705765506,0.12453714619266809,0.011483338705765506,0.12453714619266809,9
5_to_10,final_week_cases,gamma,0.11368142762769597,0.010201674108571852,0.1106374559196176,0.010201674108571852,0.1106374559196176,10
5_to_10,final_week_cases,seasonal_peak_week,0.10198481844260536,0.008210383862962108,0.0890418546068195,0.008210383862962108,0.0890418546068195,11
5_to_10,final_week_cases,initial_exposed_per_case,0.09083469955946,0.006513223427180574,0.07063609973718228,0.006513223427180574,0.07063609973718228,12
5_to_10,final_week_cases,sh_noise_multiplier,-0.08638838579389473,0.005891191311781641,0.06389014314068497,0.005891191311781641,0.06389014314068497,13
5_to_10,final_week_cases,delta,-0.07283771527026721,0.004187984227964087,0.04541881219515796,0.004187984227964087,0.04541881219515796,14
5_to_10,final_week_cases,beta_0,0.0684800988835517,0.003701870019727824,0.040146889301595885,0.003701870019727824,0.040146889301595885,15
5_to_10,final_week_cases,seasonal_amplitude,-0.053327153129089845,0.002244859718689422,0.024345569710322295,0.002244859718689422,0.024345569710322295,16
5_to_10,final_week_cases,seed_infections_per_week,0.04905537291545474,0.0018996149167525326,0.020601379673544404,0.0018996149167525326,0.020601379673544404,17
5_to_10,final_week_cases,reporting_rate,0.043287182084451134,0.0014791459818484448,0.016041381701061442,0.0014791459818484448,0.016041381701061442,18
5_to_10,final_week_cases,initial_infectious_per_case,0.03184808141860173,0.0008006799581961777,0.008683397708834677,0.0008006799581961777,0.008683397708834677,19
5_to_10,final_week_cases,eta,-0.03104980500895391,0.0007610446941739587,0.00825355210413769,0.0007610446941739587,0.00825355210413769,20
5_to_10,final_week_cases,nu,0.024314526627911018,0.00046668521882738996,0.005061214931671701,0.00046668521882738996,0.005061214931671701,21
5_to_10,final_week_cases,psi,-0.010583600140814645,8.842178032743079e-05,0.0009589368097036514,8.842178032743079e-05,0.0009589368097036514,22
5_to_10,final_week_cases,dt,-0.00020314560962363877,3.257671510194434e-08,3.532954339395052e-07,3.257671510194434e-08,3.532954339395052e-07,23
under_1,outbreak_indicator,psi,0.15249857033260464,0.087524894317855,0.0,0.087524894317855,0.0,1
under_1,outbreak_indicator,contact_scale,0.14529391346649734,0.07945018151824138,0.0,0.07945018151824138,0.0,2
under_1,outbreak_indicator,sick_contact_multiplier,0.14529391346649734,0.07945018151824138,0.0,0.07945018151824138,0.0,3
under_1,outbreak_indicator,reporting_rate,-0.1428923611777949,0.07684543545384988,0.0,0.07684543545384988,0.0,4
under_1,outbreak_indicator,seed_infections_per_week,0.13808925660039004,0.07176618062828646,0.0,0.07176618062828646,0.0,5
under_1,outbreak_indicator,delta,0.13328615202298516,0.06686057554034915,0.0,0.06686057554034915,0.0,6
under_1,outbreak_indicator,mu,0.13328615202298516,0.06686057554034915,0.0,0.06686057554034915,0.0,7
under_1,outbreak_indicator,initial_exposed_per_case,0.13088459973428274,0.06447289164799029,0.0,0.06447289164799029,0.0,8
under_1,outbreak_indicator,gamma,-0.12848304744558028,0.062128620190037925,0.0,0.062128620190037925,0.0,9
under_1,outbreak_indicator,sick_mobility_multiplier,0.12848304744558028,0.062128620190037925,0.0,0.062128620190037925,0.0,10
under_1,outbreak_indicator,seasonal_period_weeks,0.12367994286817542,0.05757031457735282,0.0,0.05757031457735282,0.0,11
under_1,outbreak_indicator,local_mixing,0.11887683829077055,0.05318565870229381,0.0,0.05318565870229381,0.0,12
under_1,outbreak_indicator,sh_noise_multiplier,0.10686907684725838,0.04298373661676047,0.0,0.04298373661676047,0.0,13
under_1,outbreak_indicator,nu,-0.0948613154037462,0.03386712539139024,0.0,0.03386712539139024,0.0,14
under_1,outbreak_indicator,seasonal_peak_week,-0.08045200167153158,0.024359802256361276,0.0,0.024359802256361276,0.0,15
under_1,outbreak_indicator,phi,-0.08045200167153158,0.024359802256361276,0.0,0.024359802256361276,0.0,16
under_1,outbreak_indicator,dt,-0.0540349264958048,0.010988772459151613,0.0,0.010988772459151613,0.0,17
under_1,outbreak_indicator,sigma,0.051633374207102366,0.010033698902208068,0.0,0.010033698902208068,0.0,18
under_1,outbreak_indicator,initial_infectious_per_case,-0.046830269629697496,0.008253789091540547,0.0,0.008253789091540547,0.0,19
under_1,outbreak_indicator,seasonal_amplitude,0.046830269629697496,0.008253789091540547,0.0,0.008253789091540547,0.0,20
under_1,outbreak_indicator,beta_0,0.03722406047488775,0.005214918683083804,0.0,0.005214918683083804,0.0,21
under_1,outbreak_indicator,noise_scale,0.03001940360878044,0.0033915964380097567,0.0,0.0033915964380097567,0.0,22
under_1,outbreak_indicator,eta,-0.003602328433053653,4.88389887073405e-05,0.0,4.88389887073405e-05,0.0,23
under_1,peak_weekly_cases,contact_scale,0.5101832937703905,0.20849714680712156,0.15536138769833596,0.20849714680712156,0.15536138769833596,1
under_1,peak_weekly_cases,mu,0.45786193773141615,0.1679255322479685,0.1251294999454397,0.1679255322479685,0.1251294999454397,2
under_1,peak_weekly_cases,seasonal_period_weeks,0.43825072837501616,0.15384838538589474,0.11463993159969986,0.15384838538589474,0.11463993159969986,3
under_1,peak_weekly_cases,sigma,0.37695067741914895,0.11381950849410513,0.08481246413959423,0.11381950849410513,0.08481246413959423,4
under_1,peak_weekly_cases,local_mixing,0.33631764793706026,0.09060391496434399,0.06751339370981603,0.09060391496434399,0.06751339370981603,5
under_1,peak_weekly_cases,sick_contact_multiplier,0.2821421828139092,0.06376519520980878,0.04751455531339098,0.06376519520980878,0.04751455531339098,6
under_1,peak_weekly_cases,gamma,0.27771864478283326,0.06178139698700733,0.04603633055335125,0.06178139698700733,0.04603633055335125,7
under_1,peak_weekly_cases,reporting_rate,0.21206372650271157,0.036023045549342415,0.02684252725455062,0.036023045549342415,0.02684252725455062,8
under_1,peak_weekly_cases,noise_scale,0.144975307217694,0.0168358762591554,0.012545232099312886,0.0168358762591554,0.012545232099312886,9
under_1,peak_weekly_cases,phi,-0.13176191871348403,0.013906808373537447,0.010362640834439553,0.013906808373537447,0.010362640834439553,10
under_1,peak_weekly_cases,initial_exposed_per_case,0.12940708572540155,0.013414168688103204,0.009995550990111183,0.013414168688103204,0.009995550990111183,11
under_1,peak_weekly_cases,sick_mobility_multiplier,0.12497782513542387,0.012511620852882344,0.009323018601580423,0.012511620852882344,0.009323018601580423,12
under_1,peak_weekly_cases,sh_noise_multiplier,-0.12357007564558598,0.012231346648943391,0.00911417262969629,0.012231346648943391,0.00911417262969629,13
under_1,peak_weekly_cases,delta,-0.09646231412785422,0.007453547139310762,0.005554001311631997,0.007453547139310762,0.005554001311631997,14
under_1,peak_weekly_cases,seasonal_peak_week,0.08945504075262463,0.006409989017434406,0.004776395284684476,0.006409989017434406,0.004776395284684476,15
under_1,peak_weekly_cases,beta_0,0.0868627215701183,0.0060438616535799005,0.004503575938262482,0.0060438616535799005,0.004503575938262482,16
