parameter,age_group,outcome,baseline_parameter_value,tested_lower,tested_upper,baseline_outcome_mean,minimum_level_mean,maximum_level_mean,low_level_outcome_mean,high_level_outcome_mean,low_to_high_outcome_change,outcome_mean_spread,relative_outcome_spread,outbreak_probability_spread_percentage_points,outbreak_probability_low_to_high_change_percentage_points,raw_variance_across_level_means,monte_carlo_variance_of_level_mean,noise_adjusted_parameter_variance,mean_within_level_stochastic_variance,oat_total_predictive_variance,oat_parameter_variance_fraction,oat_stochastic_variance_fraction,parameter_signal_to_mc_noise,isolated_variance_screening_share,relative_parameter_variance_share_percent,sensitivity_rank
gamma,15_to_24,peak_weekly_cases,0.0662422700018592,0.05555555555555555,0.07949072400223103,3.5366666666666666,3.2866666666666666,3.88,3.2866666666666666,3.8366666666666664,0.5499999999999998,0.5933333333333333,0.16776625824693683,,,0.03680763888888888,0.004516472222222221,0.03229116666666666,1.3549416666666665,1.3872328333333332,0.023277395034743624,0.9767226049652563,7.149643588592376,0.11274759852506815,11.274759852506815,3.0
gamma,1_to_4,cumulative_cases,0.0662422700018592,0.05555555555555555,0.07949072400223103,15.04,13.283333333333333,16.12,13.283333333333333,16.12,2.836666666666668,2.836666666666668,0.1886081560283689,,,0.7603604166666669,0.05293618518518518,0.7074242314814817,15.880855555555556,16.588279787037038,0.04264602722907414,0.9573539727709258,13.363717634860148,0.06975419522909632,6.975419522909632,6.0
gamma,1_to_4,final_week_cases,0.0662422700018592,0.05555555555555555,0.07949072400223103,2.19,1.89,2.19,1.89,2.1233333333333335,0.23333333333333361,0.30000000000000004,0.13698630136986303,,,0.007684548611111109,0.007051439814814815,0.0006331087962962939,2.1154319444444445,2.1160650532407406,0.0002991915561984693,0.9997008084438016,0.0897843295728279,0.0008797798222485095,0.08797798222485095,13.0
gamma,1_to_4,outbreak_indicator,0.0662422700018592,0.05555555555555555,0.07949072400223103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
gamma,1_to_4,peak_weekly_cases,0.0662422700018592,0.05555555555555555,0.07949072400223103,4.823333333333333,4.283333333333333,5.02,4.283333333333333,5.02,0.7366666666666664,0.7366666666666664,0.15272978576364887,,,0.047788194444444404,0.00688987037037037,0.04089832407407403,2.066961111111111,2.107859435185185,0.019402775816728463,0.9805972241832714,5.936007773086087,0.12727761935805773,12.727761935805773,3.0
gamma,25_to_34,cumulative_cases,0.0662422700018592,0.05555555555555555,0.07949072400223103,16.313333333333333,14.38,17.55,14.38,17.55,3.17,3.17,0.19431957498978342,,,0.9534567708333327,0.06651034722222224,0.8869464236111104,19.95310416666667,20.84005059027778,0.0425597058782998,0.9574402941217002,13.33546524193707,0.08278618177270326,8.278618177270326,6.0
gamma,25_to_34,final_week_cases,0.0662422700018592,0.05555555555555555,0.07949072400223103,2.9,2.56,3.0166666666666666,2.56,3.006666666666667,0.44666666666666677,0.45666666666666655,0.15747126436781606,,,0.019775000000000004,0.010485185185185184,0.00928981481481482,3.145555555555555,3.15484537037037,0.002944618110942224,0.9970553818890578,0.885994348286825,0.012289792638705237,1.2289792638705237,10.0
gamma,25_to_34,outbreak_indicator,0.0662422700018592,0.05555555555555555,0.07949072400223103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
gamma,25_to_34,peak_weekly_cases,0.0662422700018592,0.05555555555555555,0.07949072400223103,4.973333333333334,4.503333333333333,5.29,4.503333333333333,5.29,0.7866666666666671,0.7866666666666671,0.15817694369973198,,,0.05305399305555562,0.006829402777777777,0.046224590277777845,2.048820833333333,2.095045423611111,0.022063765184672294,0.9779362348153278,6.768467431469738,0.06667895281806958,6.667895281806959,6.0
gamma,35_and_over,cumulative_cases,0.0662422700018592,0.05555555555555555,0.07949072400223103,28.006666666666668,25.30666666666667,30.483333333333334,25.30666666666667,30.483333333333334,5.176666666666666,5.176666666666666,0.18483694358486072,,,2.494508333333332,0.12648271296296296,2.368025620370369,37.94481388888889,40.312839509259256,0.058741226100594304,0.9412587738994057,18.722128620563204,0.11009885729555688,11.009885729555688,3.0
gamma,35_and_over,final_week_cases,0.0662422700018592,0.05555555555555555,0.07949072400223103,5.0,4.8533333333333335,5.536666666666667,4.8533333333333335,5.536666666666667,0.6833333333333336,0.6833333333333336,0.13666666666666671,,,0.054560416666666695,0.019545851851851852,0.03501456481481484,5.863755555555556,5.89877012037037,0.005935909367598199,0.9940640906324018,1.7914064365272173,0.02044377893638917,2.044377893638917,9.0
gamma,35_and_over,outbreak_indicator,0.0662422700018592,0.05555555555555555,0.07949072400223103,0.0,0.0,0.006666666666666667,0.0,0.006666666666666667,0.006666666666666667,0.006666666666666667,6666666666.666667,0.6666666666666667,0.6666666666666667,4.861111111111112e-06,2.7592592592592583e-06,2.101851851851854e-06,0.0008277777777777775,0.0008298796296296294,0.0025327189351423154,0.9974672810648577,0.7617449664429541,1.0,100.0,1.0
gamma,35_and_over,peak_weekly_cases,0.0662422700018592,0.05555555555555555,0.07949072400223103,7.526666666666666,7.216666666666667,8.223333333333333,7.216666666666667,8.223333333333333,1.006666666666666,1.006666666666666,0.1337466784765278,,,0.0905243055555554,0.012679342592592591,0.07784496296296281,3.8038027777777774,3.8816477407407404,0.020054618080338104,0.9799453819196619,6.139510971841764,0.06529574477835662,6.529574477835662,6.0
gamma,5_to_10,cumulative_cases,0.0662422700018592,0.05555555555555555,0.07949072400223103,40.22,35.28,45.19,35.28,45.19,9.909999999999997,9.909999999999997,0.24639482844356034,,,9.75364288194444,0.17279744907407407,9.580845432870365,51.83923472222222,61.42008015509259,0.15598881357167976,0.8440111864283202,55.445525869790416,0.07170982384242637,7.170982384242637,5.0
gamma,5_to_10,final_week_cases,0.0662422700018592,0.05555555555555555,0.07949072400223103,7.003333333333333,5.82,7.8966666666666665,5.82,7.8966666666666665,2.076666666666666,2.076666666666666,0.296525464064731,,,0.40596093749999984,0.026712624999999997,0.37924831249999985,8.0137875,8.393035812499999,0.045186071044183325,0.9548139289558167,14.197343484588275,0.029093209640666813,2.9093209640666813,8.0
gamma,5_to_10,outbreak_indicator,0.0662422700018592,0.05555555555555555,0.07949072400223103,0.0033333333333333335,0.0,0.05333333333333334,0.006666666666666667,0.05333333333333334,0.04666666666666667,0.05333333333333334,16.0,5.333333333333334,4.666666666666667,0.00030538194444444444,4.9578703703703705e-05,0.00025580324074074074,0.014873611111111112,0.015129414351851852,0.016907676317915784,0.9830923236820842,5.159538705761509,0.07778422558832185,7.778422558832185,4.0
gamma,5_to_10,peak_weekly_cases,0.0662422700018592,0.05555555555555555,0.07949072400223103,10.126666666666667,9.08,11.323333333333334,9.08,11.323333333333334,2.243333333333334,2.243333333333334,0.2215273206056617,,,0.5059659722222225,0.01512872222222222,0.4908372500000003,4.538616666666666,5.029453916666666,0.09759255341289792,0.902407446587102,32.444065188732274,0.06890537360077854,6.890537360077855,5.0
gamma,all ages combined,cumulative_cases,0.0662422700018592,0.05555555555555555,0.07949072400223103,131.17,116.32,143.80666666666667,116.32,143.80666666666667,27.48666666666668,27.48666666666668,0.20954994790475476,,,72.90088315972228,0.6422515416666666,72.25863161805562,192.6754625,264.9340941180556,0.2727419128844055,0.7272580871155946,112.50830388128269,0.08129922263074364,8.129922263074365,6.0
gamma,all ages combined,final_week_cases,0.0662422700018592,0.05555555555555555,0.07949072400223103,22.49,19.653333333333332,24.14,19.653333333333332,24.14,4.486666666666668,4.486666666666668,0.19949607232844235,,,1.9001720486111109,0.09236083796296296,1.8078112106481479,27.70825138888889,29.516062599537037,0.06124838652010799,0.938751613479892,19.57335219688118,0.023135421468304173,2.313542146830417,9.0
gamma,all ages combined,outbreak_indicator,0.0662422700018592,0.05555555555555555,0.07949072400223103,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
gamma,all ages combined,peak_weekly_cases,0.0662422700018592,0.05555555555555555,0.07949072400223103,28.093333333333334,25.2,30.38,25.2,30.38,5.18,5.18,0.18438538205980065,,,2.5526277777777757,0.04479160185185185,2.507836175925924,13.437480555555556,15.94531673148148,0.15727728825697151,0.8427227117430285,55.9889816894825,0.0714447098615405,7.14447098615405,6.0
gamma,under_1,cumulative_cases,0.0662422700018592,0.05555555555555555,0.07949072400223103,13.743333333333334,12.076666666666666,15.006666666666666,12.076666666666666,15.006666666666666,2.9299999999999997,2.9299999999999997,0.21319427601261215,,,0.7802999999999998,0.050884657407407406,0.7294153425925923,15.265397222222221,15.994812564814813,0.045603244154117255,0.9543967558458828,14.334681213485178,0.06352752976272645,6.352752976272645,6.0
gamma,under_1,final_week_cases,0.0662422700018592,0.05555555555555555,0.07949072400223103,2.183333333333333,1.89,2.4133333333333336,1.89,2.4133333333333336,0.5233333333333337,0.5233333333333337,0.2396946564885498,,,0.029440972222222243,0.007657138888888889,0.021783833333333356,2.2971416666666666,2.3189255,0.009393934101519586,0.9906060658984803,2.8449050813148253,0.018800427011606013,1.8800427011606013,10.0
gamma,under_1,outbreak_indicator,0.0662422700018592,0.05555555555555555,0.07949072400223103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
gamma,under_1,peak_weekly_cases,0.0662422700018592,0.05555555555555555,0.07949072400223103,4.33,3.8966666666666665,4.6,3.8966666666666665,4.6,0.7033333333333331,0.7033333333333331,0.16243264049268663,,,0.04530538194444447,0.005804856481481481,0.03950052546296299,1.7414569444444443,1.7809574699074073,0.022179376054958032,0.977820623945042,6.804737651822513,0.051142437194918865,5.114243719491887,7.0
initial_exposed_per_case,11_to_14,cumulative_cases,2.0008168674898923,1.600653493991914,2.4009802409878707,7.16,7.16,7.16,7.16,7.16,0.0,0.0,0.0,,,3.1554436208840472e-30,0.026892444444444448,0.0,8.067733333333335,8.067733333333335,0.0,1.0,0.0,0.0,0.0,13.0
initial_exposed_per_case,11_to_14,final_week_cases,2.0008168674898923,1.600653493991914,2.4009802409878707,1.2666666666666666,1.2666666666666666,1.2666666666666666,1.2666666666666666,1.2666666666666666,0.0,0.0,0.0,,,4.930380657631324e-32,0.004718518518518518,0.0,1.4155555555555552,1.4155555555555552,0.0,1.0,0.0,0.0,0.0,12.0
initial_exposed_per_case,11_to_14,outbreak_indicator,2.0008168674898923,1.600653493991914,2.4009802409878707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
initial_exposed_per_case,11_to_14,peak_weekly_cases,2.0008168674898923,1.600653493991914,2.4009802409878707,2.6933333333333334,2.6933333333333334,2.6933333333333334,2.6933333333333334,2.6933333333333334,0.0,0.0,0.0,,,1.9721522630525295e-31,0.0034642962962962965,0.0,1.039288888888889,1.039288888888889,0.0,1.0,0.0,0.0,0.0,12.0
initial_exposed_per_case,15_to_24,cumulative_cases,2.0008168674898923,1.600653493991914,2.4009802409878707,10.686666666666667,10.686666666666667,10.686666666666667,10.686666666666667,10.686666666666667,0.0,0.0,0.0,,,0.0,0.03891718518518518,0.0,11.675155555555554,11.675155555555554,0.0,1.0,0.0,0.0,0.0,13.0
initial_exposed_per_case,15_to_24,final_week_cases,2.0008168674898923,1.600653493991914,2.4009802409878707,1.9466666666666668,1.9466666666666668,1.9466666666666668,1.9466666666666668,1.9466666666666668,0.0,0.0,0.0,,,4.930380657631324e-32,0.006946074074074075,0.0,2.0838222222222225,2.0838222222222225,0.0,1.0,0.0,0.0,0.0,11.0
initial_exposed_per_case,15_to_24,outbreak_indicator,2.0008168674898923,1.600653493991914,2.4009802409878707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
initial_exposed_per_case,15_to_24,peak_weekly_cases,2.0008168674898923,1.600653493991914,2.4009802409878707,3.5366666666666666,3.5366666666666666,3.5366666666666666,3.5366666666666666,3.5366666666666666,0.0,0.0,0.0,,,1.9721522630525295e-31,0.004606629629629631,0.0,1.3819888888888892,1.3819888888888892,0.0,1.0,0.0,0.0,0.0,12.0
initial_exposed_per_case,1_to_4,cumulative_cases,2.0008168674898923,1.600653493991914,2.4009802409878707,15.04,15.04,15.04,15.04,15.04,0.0,0.0,0.0,,,1.262177448353619e-29,0.05255022222222223,0.0,15.765066666666668,15.765066666666668,0.0,1.0,0.0,0.0,0.0,13.0
initial_exposed_per_case,1_to_4,final_week_cases,2.0008168674898923,1.600653493991914,2.4009802409878707,2.19,2.19,2.19,2.19,2.19,0.0,0.0,0.0,,,0.0,0.006890777777777779,0.0,2.0672333333333337,2.0672333333333337,0.0,1.0,0.0,0.0,0.0,14.0
initial_exposed_per_case,1_to_4,outbreak_indicator,2.0008168674898923,1.600653493991914,2.4009802409878707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
initial_exposed_per_case,1_to_4,peak_weekly_cases,2.0008168674898923,1.600653493991914,2.4009802409878707,4.823333333333333,4.823333333333333,4.823333333333333,4.823333333333333,4.823333333333333,0.0,0.0,0.0,,,0.0,0.006818185185185186,0.0,2.045455555555556,2.045455555555556,0.0,1.0,0.0,0.0,0.0,11.0
initial_exposed_per_case,25_to_34,cumulative_cases,2.0008168674898923,1.600653493991914,2.4009802409878707,16.313333333333333,16.313333333333333,16.313333333333333,16.313333333333333,16.313333333333333,0.0,0.0,0.0,,,0.0,0.06653940740740741,0.0,19.961822222222224,19.961822222222224,0.0,1.0,0.0,0.0,0.0,12.0
initial_exposed_per_case,25_to_34,final_week_cases,2.0008168674898923,1.600653493991914,2.4009802409878707,2.9,2.9,2.9,2.9,2.9,0.0,0.0,0.0,,,1.9721522630525295e-31,0.01098888888888889,0.0,3.296666666666667,3.296666666666667,0.0,1.0,0.0,0.0,0.0,13.0
initial_exposed_per_case,25_to_34,outbreak_indicator,2.0008168674898923,1.600653493991914,2.4009802409878707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
initial_exposed_per_case,25_to_34,peak_weekly_cases,2.0008168674898923,1.600653493991914,2.4009802409878707,4.973333333333334,4.973333333333334,4.973333333333334,4.973333333333334,4.973333333333334,0.0,0.0,0.0,,,0.0,0.006686518518518519,0.0,2.0059555555555555,2.0059555555555555,0.0,1.0,0.0,0.0,0.0,13.0
initial_exposed_per_case,35_and_over,cumulative_cases,2.0008168674898923,1.600653493991914,2.4009802409878707,28.006666666666668,28.006666666666668,28.006666666666668,28.006666666666668,28.006666666666668,0.0,0.0,0.0,,,1.262177448353619e-29,0.1350442962962963,0.0,40.513288888888894,40.513288888888894,0.0,1.0,0.0,0.0,0.0,12.0
initial_exposed_per_case,35_and_over,final_week_cases,2.0008168674898923,1.600653493991914,2.4009802409878707,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,,,0.0,0.0186,0.0,5.579999999999999,5.579999999999999,0.0,1.0,0.0,0.0,0.0,14.0
initial_exposed_per_case,35_and_over,outbreak_indicator,2.0008168674898923,1.600653493991914,2.4009802409878707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
initial_exposed_per_case,35_and_over,peak_weekly_cases,2.0008168674898923,1.600653493991914,2.4009802409878707,7.526666666666666,7.526666666666666,7.526666666666666,7.526666666666666,7.526666666666666,0.0,0.0,0.0,,,7.888609052210118e-31,0.012764296296296296,0.0,3.8292888888888887,3.8292888888888887,0.0,1.0,0.0,0.0,0.0,11.0
initial_exposed_per_case,5_to_10,cumulative_cases,2.0008168674898923,1.600653493991914,2.4009802409878707,40.22,40.22,40.22,40.22,40.22,0.0,0.0,0.0,,,5.048709793414476e-29,0.16930533333333334,0.0,50.7916,50.7916,0.0,1.0,0.0,0.0,0.0,14.0
initial_exposed_per_case,5_to_10,final_week_cases,2.0008168674898923,1.600653493991914,2.4009802409878707,7.003333333333333,7.003333333333333,7.003333333333333,7.003333333333333,7.003333333333333,0.0,0.0,0.0,,,7.888609052210118e-31,0.024788851851851847,0.0,7.4366555555555545,7.4366555555555545,0.0,1.0,0.0,0.0,0.0,13.0
initial_exposed_per_case,5_to_10,outbreak_indicator,2.0008168674898923,1.600653493991914,2.4009802409878707,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,1.1074074074074073e-05,0.0,0.003322222222222222,0.003322222222222222,0.0,1.0,0.0,0.0,0.0,10.0
initial_exposed_per_case,5_to_10,peak_weekly_cases,2.0008168674898923,1.600653493991914,2.4009802409878707,10.126666666666667,10.126666666666667,10.126666666666667,10.126666666666667,10.126666666666667,0.0,0.0,0.0,,,0.0,0.012902074074074071,0.0,3.870622222222221,3.870622222222221,0.0,1.0,0.0,0.0,0.0,13.0
initial_exposed_per_case,all ages combined,cumulative_cases,2.0008168674898923,1.600653493991914,2.4009802409878707,131.17,131.17,131.17,131.17,131.17,0.0,0.0,0.0,,,0.0,0.675425888888889,0.0,202.6277666666667,202.6277666666667,0.0,1.0,0.0,0.0,0.0,14.0
initial_exposed_per_case,all ages combined,final_week_cases,2.0008168674898923,1.600653493991914,2.4009802409878707,22.49,22.49,22.49,22.49,22.49,0.0,0.0,0.0,,,1.262177448353619e-29,0.08845522222222221,0.0,26.536566666666662,26.536566666666662,0.0,1.0,0.0,0.0,0.0,14.0
initial_exposed_per_case,all ages combined,outbreak_indicator,2.0008168674898923,1.600653493991914,2.4009802409878707,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
initial_exposed_per_case,all ages combined,peak_weekly_cases,2.0008168674898923,1.600653493991914,2.4009802409878707,28.093333333333334,28.093333333333334,28.093333333333334,28.093333333333334,28.093333333333334,0.0,0.0,0.0,,,0.0,0.04552651851851853,0.0,13.657955555555558,13.657955555555558,0.0,1.0,0.0,0.0,0.0,13.0
initial_exposed_per_case,under_1,cumulative_cases,2.0008168674898923,1.600653493991914,2.4009802409878707,13.743333333333334,13.743333333333334,13.743333333333334,13.743333333333334,13.743333333333334,0.0,0.0,0.0,,,3.1554436208840472e-30,0.05212485185185186,0.0,15.637455555555558,15.637455555555558,0.0,1.0,0.0,0.0,0.0,12.0
initial_exposed_per_case,under_1,final_week_cases,2.0008168674898923,1.600653493991914,2.4009802409878707,2.183333333333333,2.183333333333333,2.183333333333333,2.183333333333333,2.183333333333333,0.0,0.0,0.0,,,0.0,0.00787685185185185,0.0,2.363055555555555,2.363055555555555,0.0,1.0,0.0,0.0,0.0,13.0
initial_exposed_per_case,under_1,outbreak_indicator,2.0008168674898923,1.600653493991914,2.4009802409878707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
initial_exposed_per_case,under_1,peak_weekly_cases,2.0008168674898923,1.600653493991914,2.4009802409878707,4.33,4.33,4.33,4.33,4.33,0.0,0.0,0.0,,,7.888609052210118e-31,0.006114777777777777,0.0,1.8344333333333331,1.8344333333333331,0.0,1.0,0.0,0.0,0.0,12.0
initial_infectious_per_case,11_to_14,cumulative_cases,0.430501259239065,0.230501259239065,0.6305012592390651,7.16,7.16,7.16,7.16,7.16,0.0,0.0,0.0,,,3.1554436208840472e-30,0.026892444444444448,0.0,8.067733333333335,8.067733333333335,0.0,1.0,0.0,0.0,0.0,13.0
initial_infectious_per_case,11_to_14,final_week_cases,0.430501259239065,0.230501259239065,0.6305012592390651,1.2666666666666666,1.2666666666666666,1.2666666666666666,1.2666666666666666,1.2666666666666666,0.0,0.0,0.0,,,4.930380657631324e-32,0.004718518518518518,0.0,1.4155555555555552,1.4155555555555552,0.0,1.0,0.0,0.0,0.0,12.0
initial_infectious_per_case,11_to_14,outbreak_indicator,0.430501259239065,0.230501259239065,0.6305012592390651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
initial_infectious_per_case,11_to_14,peak_weekly_cases,0.430501259239065,0.230501259239065,0.6305012592390651,2.6933333333333334,2.6933333333333334,2.6933333333333334,2.6933333333333334,2.6933333333333334,0.0,0.0,0.0,,,1.9721522630525295e-31,0.0034642962962962965,0.0,1.039288888888889,1.039288888888889,0.0,1.0,0.0,0.0,0.0,12.0
initial_infectious_per_case,15_to_24,cumulative_cases,0.430501259239065,0.230501259239065,0.6305012592390651,10.686666666666667,10.686666666666667,10.686666666666667,10.686666666666667,10.686666666666667,0.0,0.0,0.0,,,0.0,0.03891718518518518,0.0,11.675155555555554,11.675155555555554,0.0,1.0,0.0,0.0,0.0,13.0
initial_infectious_per_case,15_to_24,final_week_cases,0.430501259239065,0.230501259239065,0.6305012592390651,1.9466666666666668,1.9466666666666668,1.9466666666666668,1.9466666666666668,1.9466666666666668,0.0,0.0,0.0,,,4.930380657631324e-32,0.006946074074074075,0.0,2.0838222222222225,2.0838222222222225,0.0,1.0,0.0,0.0,0.0,11.0
initial_infectious_per_case,15_to_24,outbreak_indicator,0.430501259239065,0.230501259239065,0.6305012592390651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
initial_infectious_per_case,15_to_24,peak_weekly_cases,0.430501259239065,0.230501259239065,0.6305012592390651,3.5366666666666666,3.5366666666666666,3.5366666666666666,3.5366666666666666,3.5366666666666666,0.0,0.0,0.0,,,1.9721522630525295e-31,0.004606629629629631,0.0,1.3819888888888892,1.3819888888888892,0.0,1.0,0.0,0.0,0.0,12.0
initial_infectious_per_case,1_to_4,cumulative_cases,0.430501259239065,0.230501259239065,0.6305012592390651,15.04,15.04,15.04,15.04,15.04,0.0,0.0,0.0,,,1.262177448353619e-29,0.05255022222222223,0.0,15.765066666666668,15.765066666666668,0.0,1.0,0.0,0.0,0.0,13.0
initial_infectious_per_case,1_to_4,final_week_cases,0.430501259239065,0.230501259239065,0.6305012592390651,2.19,2.19,2.19,2.19,2.19,0.0,0.0,0.0,,,0.0,0.006890777777777779,0.0,2.0672333333333337,2.0672333333333337,0.0,1.0,0.0,0.0,0.0,14.0
initial_infectious_per_case,1_to_4,outbreak_indicator,0.430501259239065,0.230501259239065,0.6305012592390651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
initial_infectious_per_case,1_to_4,peak_weekly_cases,0.430501259239065,0.230501259239065,0.6305012592390651,4.823333333333333,4.823333333333333,4.823333333333333,4.823333333333333,4.823333333333333,0.0,0.0,0.0,,,0.0,0.006818185185185186,0.0,2.045455555555556,2.045455555555556,0.0,1.0,0.0,0.0,0.0,11.0
initial_infectious_per_case,25_to_34,cumulative_cases,0.430501259239065,0.230501259239065,0.6305012592390651,16.313333333333333,16.313333333333333,16.313333333333333,16.313333333333333,16.313333333333333,0.0,0.0,0.0,,,0.0,0.06653940740740741,0.0,19.961822222222224,19.961822222222224,0.0,1.0,0.0,0.0,0.0,12.0
initial_infectious_per_case,25_to_34,final_week_cases,0.430501259239065,0.230501259239065,0.6305012592390651,2.9,2.9,2.9,2.9,2.9,0.0,0.0,0.0,,,1.9721522630525295e-31,0.01098888888888889,0.0,3.296666666666667,3.296666666666667,0.0,1.0,0.0,0.0,0.0,13.0
initial_infectious_per_case,25_to_34,outbreak_indicator,0.430501259239065,0.230501259239065,0.6305012592390651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
initial_infectious_per_case,25_to_34,peak_weekly_cases,0.430501259239065,0.230501259239065,0.6305012592390651,4.973333333333334,4.973333333333334,4.973333333333334,4.973333333333334,4.973333333333334,0.0,0.0,0.0,,,0.0,0.006686518518518519,0.0,2.0059555555555555,2.0059555555555555,0.0,1.0,0.0,0.0,0.0,13.0
initial_infectious_per_case,35_and_over,cumulative_cases,0.430501259239065,0.230501259239065,0.6305012592390651,28.006666666666668,28.006666666666668,28.006666666666668,28.006666666666668,28.006666666666668,0.0,0.0,0.0,,,1.262177448353619e-29,0.1350442962962963,0.0,40.513288888888894,40.513288888888894,0.0,1.0,0.0,0.0,0.0,12.0
initial_infectious_per_case,35_and_over,final_week_cases,0.430501259239065,0.230501259239065,0.6305012592390651,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,,,0.0,0.0186,0.0,5.579999999999999,5.579999999999999,0.0,1.0,0.0,0.0,0.0,14.0
initial_infectious_per_case,35_and_over,outbreak_indicator,0.430501259239065,0.230501259239065,0.6305012592390651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
initial_infectious_per_case,35_and_over,peak_weekly_cases,0.430501259239065,0.230501259239065,0.6305012592390651,7.526666666666666,7.526666666666666,7.526666666666666,7.526666666666666,7.526666666666666,0.0,0.0,0.0,,,7.888609052210118e-31,0.012764296296296296,0.0,3.8292888888888887,3.8292888888888887,0.0,1.0,0.0,0.0,0.0,11.0
initial_infectious_per_case,5_to_10,cumulative_cases,0.430501259239065,0.230501259239065,0.6305012592390651,40.22,40.22,40.22,40.22,40.22,0.0,0.0,0.0,,,5.048709793414476e-29,0.16930533333333334,0.0,50.7916,50.7916,0.0,1.0,0.0,0.0,0.0,14.0
initial_infectious_per_case,5_to_10,final_week_cases,0.430501259239065,0.230501259239065,0.6305012592390651,7.003333333333333,7.003333333333333,7.003333333333333,7.003333333333333,7.003333333333333,0.0,0.0,0.0,,,7.888609052210118e-31,0.024788851851851847,0.0,7.4366555555555545,7.4366555555555545,0.0,1.0,0.0,0.0,0.0,13.0
initial_infectious_per_case,5_to_10,outbreak_indicator,0.430501259239065,0.230501259239065,0.6305012592390651,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,1.1074074074074073e-05,0.0,0.003322222222222222,0.003322222222222222,0.0,1.0,0.0,0.0,0.0,10.0
initial_infectious_per_case,5_to_10,peak_weekly_cases,0.430501259239065,0.230501259239065,0.6305012592390651,10.126666666666667,10.126666666666667,10.126666666666667,10.126666666666667,10.126666666666667,0.0,0.0,0.0,,,0.0,0.012902074074074071,0.0,3.870622222222221,3.870622222222221,0.0,1.0,0.0,0.0,0.0,13.0
initial_infectious_per_case,all ages combined,cumulative_cases,0.430501259239065,0.230501259239065,0.6305012592390651,131.17,131.17,131.17,131.17,131.17,0.0,0.0,0.0,,,0.0,0.675425888888889,0.0,202.6277666666667,202.6277666666667,0.0,1.0,0.0,0.0,0.0,14.0
initial_infectious_per_case,all ages combined,final_week_cases,0.430501259239065,0.230501259239065,0.6305012592390651,22.49,22.49,22.49,22.49,22.49,0.0,0.0,0.0,,,1.262177448353619e-29,0.08845522222222221,0.0,26.536566666666662,26.536566666666662,0.0,1.0,0.0,0.0,0.0,14.0
