parameter,age_group,outcome,baseline_parameter_value,tested_lower,tested_upper,baseline_outcome_mean,minimum_level_mean,maximum_level_mean,low_level_outcome_mean,high_level_outcome_mean,low_to_high_outcome_change,outcome_mean_spread,relative_outcome_spread,outbreak_probability_spread_percentage_points,outbreak_probability_low_to_high_change_percentage_points,raw_variance_across_level_means,monte_carlo_variance_of_level_mean,noise_adjusted_parameter_variance,mean_within_level_stochastic_variance,oat_total_predictive_variance,oat_parameter_variance_fraction,oat_stochastic_variance_fraction,parameter_signal_to_mc_noise,isolated_variance_screening_share,relative_parameter_variance_share_percent,sensitivity_rank
delta,11_to_14,cumulative_cases,0.0009,0.0007199999999999999,0.00108,7.16,7.096666666666667,7.316666666666666,7.096666666666667,7.316666666666666,0.21999999999999975,0.21999999999999975,0.030726256983240188,,,0.005897959183673466,0.026472460317460318,0.0,7.941738095238096,7.941738095238096,0.0,1.0,0.0,0.0,0.0,13.0
delta,11_to_14,final_week_cases,0.0009,0.0007199999999999999,0.00108,1.2666666666666666,1.22,1.3166666666666667,1.22,1.3166666666666667,0.09666666666666668,0.09666666666666668,0.07631578947368423,,,0.0009396825396825384,0.0047026719576719585,0.0,1.4108015873015876,1.4108015873015876,0.0,1.0,0.0,0.0,0.0,12.0
delta,11_to_14,outbreak_indicator,0.0009,0.0007199999999999999,0.00108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
delta,11_to_14,peak_weekly_cases,0.0009,0.0007199999999999999,0.00108,2.6933333333333334,2.6766666666666667,2.7266666666666666,2.6766666666666667,2.7266666666666666,0.04999999999999982,0.04999999999999982,0.018564356435643498,,,0.000288435374149658,0.0034120476190476192,0.0,1.0236142857142858,1.0236142857142858,0.0,1.0,0.0,0.0,0.0,12.0
delta,15_to_24,cumulative_cases,0.0009,0.0007199999999999999,0.00108,10.686666666666667,10.673333333333334,10.86,10.713333333333333,10.86,0.1466666666666665,0.18666666666666565,0.017467248908296845,,,0.0043968253968253625,0.03740128042328043,0.0,11.220384126984127,11.220384126984127,0.0,1.0,0.0,0.0,0.0,13.0
delta,15_to_24,final_week_cases,0.0009,0.0007199999999999999,0.00108,1.9466666666666668,1.9,1.9466666666666668,1.9266666666666667,1.93,0.0033333333333331883,0.046666666666666856,0.023972602739726123,,,0.00021088435374149825,0.006932391534391536,0.0,2.0797174603174606,2.0797174603174606,0.0,1.0,0.0,0.0,0.0,11.0
delta,15_to_24,outbreak_indicator,0.0009,0.0007199999999999999,0.00108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
delta,15_to_24,peak_weekly_cases,0.0009,0.0007199999999999999,0.00108,3.5366666666666666,3.5366666666666666,3.5733333333333333,3.57,3.5733333333333333,0.0033333333333334103,0.036666666666666625,0.010367577756833165,,,0.0001696145124716539,0.0044999417989417985,0.0,1.3499825396825396,1.3499825396825396,0.0,1.0,0.0,0.0,0.0,12.0
delta,1_to_4,cumulative_cases,0.0009,0.0007199999999999999,0.00108,15.04,14.9,15.213333333333333,14.9,15.213333333333333,0.3133333333333326,0.3133333333333326,0.020833333333333284,,,0.010593197278911521,0.05196262962962962,0.0,15.588788888888887,15.588788888888887,0.0,1.0,0.0,0.0,0.0,13.0
delta,1_to_4,final_week_cases,0.0009,0.0007199999999999999,0.00108,2.19,2.15,2.23,2.15,2.23,0.08000000000000007,0.08000000000000007,0.036529680365296836,,,0.0008630385487528329,0.007173386243386245,0.0,2.1520158730158734,2.1520158730158734,0.0,1.0,0.0,0.0,0.0,14.0
delta,1_to_4,outbreak_indicator,0.0009,0.0007199999999999999,0.00108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
delta,1_to_4,peak_weekly_cases,0.0009,0.0007199999999999999,0.00108,4.823333333333333,4.773333333333333,4.84,4.786666666666667,4.823333333333333,0.03666666666666618,0.06666666666666643,0.01382170006910845,,,0.0004848072562358239,0.006779777777777777,0.0,2.033933333333333,2.033933333333333,0.0,1.0,0.0,0.0,0.0,11.0
delta,25_to_34,cumulative_cases,0.0009,0.0007199999999999999,0.00108,16.313333333333333,16.09,16.46,16.10333333333333,16.39,0.28666666666666885,0.370000000000001,0.022680833673886455,,,0.019539682539682645,0.06656647089947089,0.0,19.969941269841268,19.969941269841268,0.0,1.0,0.0,0.0,0.0,12.0
delta,25_to_34,final_week_cases,0.0009,0.0007199999999999999,0.00108,2.9,2.8533333333333335,2.95,2.8833333333333333,2.9233333333333333,0.040000000000000036,0.09666666666666668,0.03333333333333334,,,0.0008979591836734701,0.01066779365079365,0.0,3.200338095238095,3.200338095238095,0.0,1.0,0.0,0.0,0.0,13.0
delta,25_to_34,outbreak_indicator,0.0009,0.0007199999999999999,0.00108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
delta,25_to_34,peak_weekly_cases,0.0009,0.0007199999999999999,0.00108,4.973333333333334,4.873333333333333,5.033333333333333,4.873333333333333,5.003333333333333,0.1299999999999999,0.16000000000000014,0.032171581769437026,,,0.003796371882086154,0.0066164126984126995,0.0,1.9849238095238098,1.9849238095238098,0.0,1.0,0.0,0.0,0.0,13.0
delta,35_and_over,cumulative_cases,0.0009,0.0007199999999999999,0.00108,28.006666666666668,27.79,28.24,27.79,28.24,0.4499999999999993,0.4499999999999993,0.016067602951678146,,,0.018754648526077018,0.13772292592592594,0.0,41.31687777777778,41.31687777777778,0.0,1.0,0.0,0.0,0.0,12.0
delta,35_and_over,final_week_cases,0.0009,0.0007199999999999999,0.00108,5.0,4.99,5.07,5.006666666666667,5.043333333333333,0.03666666666666618,0.08000000000000007,0.016000000000000014,,,0.000786394557823128,0.01944880423280423,0.0,5.834641269841269,5.834641269841269,0.0,1.0,0.0,0.0,0.0,14.0
delta,35_and_over,outbreak_indicator,0.0009,0.0007199999999999999,0.00108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
delta,35_and_over,peak_weekly_cases,0.0009,0.0007199999999999999,0.00108,7.526666666666666,7.513333333333334,7.57,7.513333333333334,7.57,0.05666666666666664,0.05666666666666664,0.00752878653675819,,,0.0002852607709750603,0.012873433862433859,0.0,3.8620301587301578,3.8620301587301578,0.0,1.0,0.0,0.0,0.0,11.0
delta,5_to_10,cumulative_cases,0.0009,0.0007199999999999999,0.00108,40.22,39.92666666666667,40.27,39.92666666666667,40.22666666666667,0.29999999999999716,0.3433333333333337,0.008536383225592584,,,0.01774603174603149,0.17377181481481482,0.0,52.131544444444444,52.131544444444444,0.0,1.0,0.0,0.0,0.0,14.0
