age_group,outcome,between_parameter_variance,raw_variance_across_design_means,monte_carlo_variance_of_design_mean,mean_stochastic_variance,total_predictive_variance,parameter_variance_fraction,stochastic_variance_fraction
11_to_14,outbreak_indicator,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11_to_14,peak_weekly_cases,0.19153323608398437,0.19650170288085936,0.004968466796875,0.9936933593750001,1.1852265954589845,0.16160052163680333,0.8383994783631967
11_to_14,cumulative_cases,2.2754827201538084,2.308921922302246,0.0334392021484375,6.687840429687499,8.963323149841308,0.25386596936361655,0.7461340306363834
11_to_14,final_week_cases,0.21823161712646488,0.22401597747802737,0.005784360351562501,1.1568720703125002,1.375103687438965,0.15870193580304195,0.8412980641969581
15_to_24,outbreak_indicator,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15_to_24,peak_weekly_cases,0.27118155316162107,0.2778587142944336,0.006677161132812501,1.3354322265625,1.6066137797241211,0.16879075517962186,0.8312092448203782
15_to_24,cumulative_cases,3.6761942458496097,3.7279847595214846,0.051790513671875,10.358102734375,14.03429698022461,0.2619435979607419,0.738056402039258
15_to_24,final_week_cases,0.3130750922241211,0.32188390960693364,0.008808817382812502,1.7617634765625003,2.0748385687866215,0.1508913015855539,0.849108698414446
1_to_4,outbreak_indicator,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_to_4,peak_weekly_cases,0.39490555859375004,0.403936328125,0.00903076953125,1.80615390625,2.20105946484375,0.17941612432619297,0.8205838756738071
1_to_4,cumulative_cases,7.6848833817749025,7.75535389251709,0.0704705107421875,14.0941021484375,21.778985530212402,0.35285772935172866,0.6471422706482713
1_to_4,final_week_cases,0.6206976942749024,0.6304434432983399,0.0097457490234375,1.9491498046875,2.5698474989624023,0.24153094474497586,0.7584690552550242
25_to_34,outbreak_indicator,1.1669311523437496e-06,1.7440795898437498e-06,5.771484375000002e-07,0.00011542968750000003,0.00011659661865234377,0.010008276104671518,0.9899917238953285
25_to_34,peak_weekly_cases,0.629319107849121,0.6388147201538086,0.0094956123046875,1.8991224609375,2.528441568786621,0.2488960455396746,0.7511039544603254
25_to_34,cumulative_cases,9.09179017944336,9.171401361083984,0.07961118164062501,15.922236328125003,25.01402650756836,0.3634676798912204,0.6365323201087797
25_to_34,final_week_cases,0.8286224354858398,0.8421753524780273,0.013552916992187499,2.7105833984374996,3.539205833923339,0.23412665845639205,0.765873341543608
35_and_over,outbreak_indicator,0.00013062249755859372,0.0001421859741210937,1.15634765625e-05,0.0023126953125000003,0.002443317810058594,0.05346111628247871,0.9465388837175213
35_and_over,peak_weekly_cases,1.2089336459350586,1.225259812927246,0.016326166992187502,3.2652333984375,4.4741670443725585,0.2702030643794604,0.7297969356205396
35_and_over,cumulative_cases,18.668899620117188,18.824420483398438,0.15552086328125,31.10417265625,49.77307227636719,0.37508031484287924,0.6249196851571208
35_and_over,final_week_cases,1.5758977948608397,1.6014513290405272,0.0255535341796875,5.1107068359375,6.68660463079834,0.23567982285094177,0.7643201771490582
5_to_10,outbreak_indicator,0.023454138610839847,0.023606211853027345,0.00015207324218749997,0.030414648437499997,0.05386878704833985,0.43539385042757645,0.5646061495724235
5_to_10,peak_weekly_cases,7.330600908630371,7.356370677185059,0.025769768554687503,5.1539537109375,12.484554619567872,0.587173602263763,0.4128263977362369
5_to_10,cumulative_cases,108.50161309545899,108.746625189209,0.24501209375000002,49.002418750000004,157.504031845459,0.6888814960744588,0.31111850392554125
5_to_10,final_week_cases,10.845029427734376,10.88467890625,0.039649478515625,7.929895703125,18.774925130859376,0.5776336977189305,0.42236630228106953
under_1,outbreak_indicator,0.0,1.9378662109375e-07,1.9433593750000012e-07,3.886718750000002e-05,3.886718750000002e-05,0.0,1.0
under_1,peak_weekly_cases,0.7451487470092772,0.7534730331420898,0.008324286132812503,1.6648572265625003,2.410005973571778,0.30918958508012356,0.6908104149198764
under_1,cumulative_cases,11.47230823022461,11.53930687866211,0.06699864843749999,13.399729687499999,24.87203791772461,0.4612532462428049,0.538746753757195
under_1,final_week_cases,0.9882016250000001,0.998503125,0.010301500000000002,2.0603000000000002,3.048501625,0.3241597829228646,0.6758402170771355
all ages combined,outbreak_indicator,0.0006464755249023439,0.0006961288452148439,4.965332031250001e-05,0.009930664062500002,0.010577139587402347,0.06112007122155345,0.9388799287784465
all ages combined,peak_weekly_cases,42.77776982415771,42.853528721618645,0.0757588974609375,15.151779492187499,57.92954931634521,0.7384447199917655,0.26155528000823447
all ages combined,cumulative_cases,737.5842130563966,738.3944901794434,0.8102771230468749,162.055424609375,899.6396376657716,0.819866291096457,0.180133708903543
all ages combined,final_week_cases,67.85083934759523,67.9749063095093,0.12406696191406251,24.813392382812502,92.66423173040772,0.7322225424044605,0.2677774575955395
