,East Midlands,East of England,London,North East,North West,South East,South West,West Midlands,Yorkshire and The Humber
East Midlands,0.705102829004538,0.053369701651057255,0.0623249975861736,0.008472530655595249,0.0274210678767983,0.04591097808245631,0.01810369798204113,0.046417881625953464,0.032876315535386696
East of England,0.040846797845678025,0.6462965925451928,0.13501839705647095,0.00943848984162534,0.01919692849144137,0.0786540820135445,0.029381965552178316,0.022503066176078494,0.01866368047779022
London,0.02671564534980798,0.05596927700784772,0.7029554182668225,0.007413591584571715,0.024211053598263484,0.09764568375354817,0.036934379696109534,0.02788445483386208,0.020270495909166807
North East,0.017704396260194946,0.0228267356276109,0.04943306146807241,0.7610403819375373,0.0380445593793515,0.03207678535906107,0.013377760095484385,0.011686890789735428,0.05380942908295206
North West,0.018887671899720092,0.017037848363149567,0.03497626871120847,0.012948764755993672,0.8076183521966654,0.022879396373372277,0.014165753924790069,0.0327370086406231,0.0387489351344773
South East,0.019875561700656758,0.04478242501056189,0.11729461919575988,0.0073165111187924875,0.014575411913814956,0.712946960095249,0.052425394630717825,0.019491492875523295,0.011291623458923839
South West,0.013615109562666178,0.02846795635830201,0.07215549647015677,0.0047446593930503345,0.014302741358760428,0.09303658201155221,0.7382873384065279,0.025350692216008067,0.01003942422297607
West Midlands,0.04378191401746006,0.038906275737110856,0.0801185966068193,0.005270960303080217,0.03511777301927195,0.06015483445890298,0.03126338329764454,0.6842035908417065,0.021182671718003625
Yorkshire and The Humber,0.04129923574368019,0.028194199490495786,0.041985106799921616,0.02415245933764452,0.06532921810699588,0.032113462669018225,0.015358612580834803,0.0228297080148932,0.7287379972565158
