,East Midlands,East of England,London,North East,North West,South East,South West,West Midlands,Yorkshire and The Humber
East Midlands,0.8956164261464133,0.020758068015859506,0.004511352901767939,0.00032803197617713436,0.0076148714647979315,0.015660056590995265,0.0018746771734310173,0.028603803855873418,0.02503271187468448
East of England,0.009063599734147809,0.8781364213732095,0.08883684641005313,0.00015453600877462996,0.0007506932133564342,0.019190733870147036,0.0014310285690593782,0.0015667187231053947,0.0008694220981466987
London,0.0013274250419179955,0.03621389637273634,0.9088555666101467,0.0002653801150574894,0.0012655379795132845,0.047005846229530725,0.0021524110517706255,0.0020365039264194297,0.0008774326729074699
North East,0.0015508841482327856,0.0018538475632363994,0.0020486097585958657,0.9629865267841299,0.004094334151334554,0.0027252280521039367,0.0020731353683818726,0.0018581756120221655,0.020809258561962512
North West,0.003214408439440144,0.0015388890515440512,0.0020201771160623344,0.0006888018084514595,0.9739981169668682,0.002173757832488126,0.0016878469370406382,0.00734311010710072,0.0073348917410043565
South East,0.0037558378784414907,0.012864198337270613,0.0781704170613018,0.00015059639802446557,0.0007162400978332263,0.8910775262999372,0.010226946957408436,0.0023546563317620502,0.0006835806380206915
South West,0.0008067090849799656,0.0017980041470316182,0.00438972799547149,0.00013331209455177398,0.0007055286234740038,0.02597534888458796,0.9594512463997189,0.006046216226748149,0.0006939065434361569
West Midlands,0.026493229746975197,0.002211934449297287,0.003575412349250277,0.0002613069014759095,0.010464297441912995,0.006400437325254964,0.00918813274390595,0.9400297497590978,0.0013754992828296057
Yorkshire and The Humber,0.017894031543839665,0.001770463001871613,0.0018437797212742717,0.005591078712965722,0.009511486625469006,0.0021329734478069814,0.0015247162201701085,0.0018634666181509116,0.9578680041084517
