model,origins,mean_MAE,mean_RMSE,mean_Brier,p10_p90_coverage
non-seasonal,114,7.904239766081871,8.980417252099066,0.12798245614035086,0.46345029239766083
seasonal,114,6.105994152046784,7.163131891200612,0.07721228070175438,0.6345029239766081
