model,origin_date,origin_cases,forecast_probability,observed_event,classification,median_mae,median_rmse,p10_p90_coverage,brier_score
non-seasonal,2026-02-02,14.0,1.0,True,DETECTED OUTBREAK,8.583333333333334,10.03535417079703,0.3333333333333333,0.0
seasonal,2026-02-02,14.0,0.99,True,DETECTED OUTBREAK,8.083333333333334,10.1098137140767,0.5,0.00010000000000000018
non-seasonal,2026-02-09,33.0,1.0,True,DETECTED OUTBREAK,16.333333333333332,18.085445345175586,0.16666666666666666,0.0
seasonal,2026-02-09,33.0,1.0,True,DETECTED OUTBREAK,13.0,14.332364308329128,0.16666666666666666,0.0
non-seasonal,2026-02-16,29.0,1.0,True,DETECTED OUTBREAK,17.333333333333332,17.99073835801818,0.0,0.0
seasonal,2026-02-16,29.0,1.0,True,DETECTED OUTBREAK,13.833333333333334,14.623041179362566,0.16666666666666666,0.0
non-seasonal,2026-02-23,15.0,1.0,True,DETECTED OUTBREAK,6.166666666666667,7.011894655987543,0.5,0.0
seasonal,2026-02-23,15.0,1.0,True,DETECTED OUTBREAK,5.916666666666667,6.623820649745885,0.5,0.0
non-seasonal,2026-03-02,18.0,1.0,True,DETECTED OUTBREAK,5.916666666666667,7.260050504874834,0.5,0.0
seasonal,2026-03-02,18.0,1.0,True,DETECTED OUTBREAK,5.166666666666667,6.363961030678928,0.5,0.0
non-seasonal,2026-03-09,8.0,0.97,True,DETECTED OUTBREAK,5.666666666666667,7.461009761866464,0.5,0.0009000000000000016
seasonal,2026-03-09,8.0,0.82,True,DETECTED OUTBREAK,6.416666666666667,8.349151653511472,0.5,0.03240000000000002
non-seasonal,2026-03-16,13.0,1.0,True,DETECTED OUTBREAK,6.0,6.97614984548545,0.6666666666666666,0.0
seasonal,2026-03-16,13.0,1.0,True,DETECTED OUTBREAK,5.333333333333333,6.855654600401044,0.6666666666666666,0.0
non-seasonal,2026-03-23,13.0,0.98,True,DETECTED OUTBREAK,6.0,7.52772652709081,0.5,0.0004000000000000007
seasonal,2026-03-23,13.0,0.96,True,DETECTED OUTBREAK,6.0,7.767453465154029,0.5,0.001600000000000003
