model,alarm_probability_cutoff,true_negative,false_positive,false_negative,true_positive,sensitivity,specificity,precision,false_alarm_rate,miss_rate,accuracy,brier_score
non-seasonal,0.4,31,15,3,65,0.9558823529411765,0.6739130434782609,0.8125,0.32608695652173914,0.04411764705882353,0.8421052631578947,0.1279824561403509
seasonal,0.4,43,3,8,60,0.8823529411764706,0.9347826086956522,0.9523809523809523,0.06521739130434782,0.11764705882352941,0.9035087719298246,0.07721228070175438
