block_id,start_date,end_date,observed_total,predicted_total,mae,mean_squared_error,rmse,normalised_rmse,log_rmse,poisson_nll,objective,prediction_summary,objective_metric,window_weight
0,2024-01-08,2024-02-12,69.0,43.711094863467714,4.062812153314379,21.434902680097686,4.629784301681633,0.4022330333021277,0.428932798958463,3.347268043661849,3.347268043661849,mean,poisson_nll,2.4499999999999997
1,2024-01-15,2024-02-19,71.0,72.41457082202112,3.0511097859034413,14.22704613655691,3.7718756788310124,0.32902152953831676,0.3021299181303006,2.722974664358042,2.722974664358042,mean,poisson_nll,1.6166666666666667
2,2024-01-22,2024-02-26,87.0,72.41457082202112,5.36171560767181,55.45389543604777,7.446737234255535,0.5556189603078259,0.4604392988390718,4.1369458423573,4.1369458423573,mean,poisson_nll,1.2833333333333332
3,2024-01-29,2024-03-04,105.0,55.192589674212925,8.03244208918014,121.90424263321943,11.041025433954013,0.6593125704767548,0.667776976253928,6.951702854041728,6.951702854041728,mean,poisson_nll,1.1166666666666667
4,2024-02-05,2024-03-11,130.0,49.45185967365636,13.243658690891547,250.7519608026327,15.835149535215407,0.7370715249124289,0.9425336614970677,12.082238130520109,12.082238130520109,mean,poisson_nll,1.0333333333333332
5,2024-02-12,2024-03-18,150.0,95.37672504143072,12.30558014342477,196.7036423216829,14.025107568987943,0.5610043027595176,0.6148367766757358,7.577970900781778,7.577970900781778,mean,poisson_nll,0.9999999999999999
6,2024-02-19,2024-03-25,167.0,72.41457082202112,15.764238196329813,304.2244571679673,17.44203133720288,0.6266598085222591,0.8313458391017731,11.475357281005552,11.475357281005552,mean,poisson_nll,0.9999999999999999
7,2024-02-26,2024-04-01,192.0,83.89571754627303,18.017380408954498,356.4927829045442,18.88101646905018,0.5900317646578181,0.8183414786497383,12.0103016594697,12.0103016594697,mean,poisson_nll,0.9999999999999999
8,2024-03-04,2024-04-08,222.0,164.2598463774867,10.305231853930684,260.3292257181408,16.1347211230359,0.436073543865835,0.43690681221400063,6.8388178748420225,6.8388178748420225,mean,poisson_nll,0.9999999999999999
9,2024-03-11,2024-04-15,237.0,158.5197776852566,13.080037052457234,310.9682091219448,17.63429071785834,0.4464377396926162,0.4892753002421576,7.7387342006802,7.7387342006802,mean,poisson_nll,0.9999999999999999
10,2024-03-18,2024-04-22,244.0,192.95966781992908,12.006651497640174,208.99289198799323,14.456586456975009,0.3554898309092215,0.3676478511118094,5.672536699299623,5.672536699299623,mean,poisson_nll,0.9999999999999999
11,2024-03-25,2024-04-29,242.0,210.17914308457424,9.194281944582324,110.67784403562919,10.520353798025482,0.2608352181328632,0.25105678415186516,4.155558634776508,4.155558634776508,mean,poisson_nll,0.9999999999999999
12,2024-04-01,2024-05-06,257.0,169.99988026794574,14.500019955342383,241.520945913431,15.540944177025764,0.3628235994636365,0.4179567700119498,6.367632310950205,6.367632310950205,mean,poisson_nll,0.9999999999999999
13,2024-04-08,2024-05-13,276.0,227.3983051615716,10.871258131992242,208.06408807646383,14.42442678502213,0.31357449532656806,0.3243133719243184,5.421957571195661,5.421957571195661,mean,poisson_nll,0.9999999999999999
14,2024-04-15,2024-05-20,275.0,336.4457260870044,17.452640752847206,367.55607554436006,19.171752020729876,0.4182927713613791,0.37697111796573307,6.238205247727984,6.238205247727984,mean,poisson_nll,0.9999999999999999
15,2024-04-22,2024-05-27,275.0,244.61715406152933,11.457890709822045,194.86231119235376,13.959309123031618,0.30456674450250804,0.30787147360339084,5.096133242989993,5.096133242989993,mean,poisson_nll,0.9999999999999999
16,2024-04-29,2024-06-03,273.0,233.13795625848238,10.13892499610917,134.053636431377,11.57815341198142,0.25446491015343775,0.2532185316824042,4.3848359898376055,4.3848359898376055,mean,poisson_nll,0.9999999999999999
17,2024-05-06,2024-06-10,271.0,198.69952770742663,12.050078715428896,174.03038620063566,13.192057693954938,0.2920750780949432,0.3033191499514458,4.964743073679572,4.964743073679572,mean,poisson_nll,0.9999999999999999
18,2024-05-13,2024-06-17,276.0,256.0962126794957,7.536807946080935,78.69967975695327,8.87128399708595,0.19285399993665106,0.19669738420996177,3.7470363002315685,3.7470363002315685,mean,poisson_nll,0.9999999999999999
19,2024-05-20,2024-06-24,271.0,336.4457260870044,13.78597408618054,303.9755321889717,17.434894097440676,0.386012415441491,0.3522337674502401,5.690608567627367,5.690608567627367,mean,poisson_nll,0.9999999999999999
20,2024-05-27,2024-07-01,261.0,330.7067012769928,14.354533868186953,331.11801231087196,18.19664838125065,0.41831375589081954,0.3700123361123305,5.916525182180017,5.916525182180017,mean,poisson_nll,0.9999999999999999
21,2024-06-03,2024-07-08,284.0,244.61715406152933,14.194609354973322,290.4656019670916,17.043051427696028,0.3600644667823104,0.37205745215489305,6.26313152206727,6.26313152206727,mean,poisson_nll,0.9999999999999999
22,2024-06-10,2024-07-15,311.0,221.65861926721192,17.102773612188138,446.2684719034608,21.12506738222297,0.4075575700750412,0.4559021482417239,8.347413125153603,8.347413125153603,mean,poisson_nll,0.9999999999999999
