,under_1,1_to_4,5_to_10,11_to_14,15_to_24,25_to_34,35_and_over
under_1,0.31686621857302427,1.267464874292097,0.7731535733181794,0.3041915698301033,0.5703591934314436,1.267464874292097,2.0913170425819603
1_to_4,0.31686621857302427,1.267464874292097,0.7731535733181794,0.3041915698301033,0.5703591934314436,1.267464874292097,2.0913170425819603
5_to_10,0.11618428014344225,0.464737120573769,3.3017459975309134,1.0815700260625896,0.7287923027179559,1.0034096921479103,2.2603123591542396
11_to_14,0.06337324371460486,0.25349297485841943,1.6223550390938843,3.4475044580745045,0.887225412004468,0.6337324371460485,2.4715565048695898
15_to_24,0.050698594971683886,0.20279437988673554,0.44361270600223396,0.3802394622876291,2.6933628578707065,0.8555387901471656,2.281436773725775
25_to_34,0.09505986557190729,0.38023946228762917,0.5640218690599833,0.2281436773725775,0.8238521682898632,1.5843310928651213,2.6299896141561017
35_and_over,0.03091846132742843,0.12367384530971372,0.24216260704277795,0.15440026650467364,0.3917618702357391,0.5329113676000863,2.7932237267543276
