block_id,start_date,end_date,observed_total,predicted_total,mae,mean_squared_error,rmse,normalised_rmse,log_rmse,poisson_nll,objective,prediction_summary,objective_metric,window_weight
0,2024-01-08,2024-02-12,69.0,52.86539959406115,3.6793310313303462,17.023101637621263,4.125906159575283,0.3584563862042356,0.3811135874225849,3.075238186101905,3.075238186101905,mean,poisson_nll,2.4499999999999997
1,2024-01-15,2024-02-19,71.0,77.5448434058594,1.8625300665133218,5.218949687717199,2.2845020655970525,0.19927760824003068,0.19007608247275673,2.3601993442638554,2.3601993442638554,mean,poisson_nll,1.6166666666666667
2,2024-01-22,2024-02-26,87.0,80.14771868927119,3.8321343473893883,24.579271381888503,4.957748620280026,0.3699095385286454,0.2904864405564382,2.932729473470165,2.932729473470165,mean,poisson_nll,1.2833333333333332
3,2024-01-29,2024-03-04,105.0,67.75545877867779,6.245443511315711,66.2463790356798,8.139187860940414,0.48602993465508715,0.4353539548592783,4.3211356910341205,4.3211356910341205,mean,poisson_nll,1.1166666666666667
4,2024-02-05,2024-03-11,130.0,64.5306756541526,10.80694279592051,151.27438942960748,12.29936540759756,0.5724929844377242,0.6432433648040677,7.0579845155466625,7.0579845155466625,mean,poisson_nll,1.0333333333333332
5,2024-02-12,2024-03-18,150.0,109.07283925489824,8.628755027117165,94.35754170656182,9.713781020105499,0.3885512408042199,0.389173787530707,4.575479493246477,4.575479493246477,mean,poisson_nll,0.9999999999999999
6,2024-02-19,2024-03-25,167.0,89.83317030492722,12.861138282512131,200.6994374745762,14.166842890163503,0.5089883673112635,0.6200769232235832,7.700917267659119,7.700917267659119,mean,poisson_nll,0.9999999999999999
7,2024-02-26,2024-04-01,192.0,103.11476985306555,14.814205024489073,229.59231467888478,15.152303939628613,0.47350949811339416,0.6146007649209375,8.006991483008344,8.006991483008344,mean,poisson_nll,0.9999999999999999
8,2024-03-04,2024-04-08,222.0,186.10902610985738,6.900206973000406,81.68498144621994,9.037974410575632,0.24426957866420623,0.21677339376243165,3.7461992907298525,3.7461992907298525,mean,poisson_nll,0.9999999999999999
9,2024-03-11,2024-04-15,237.0,183.0568150783329,8.990530820277852,135.4020604778329,11.636239103672324,0.29458833173853977,0.28676729268074197,4.558857128009413,4.558857128009413,mean,poisson_nll,0.9999999999999999
10,2024-03-18,2024-04-22,244.0,220.71619262488971,6.733850923915884,95.50847470799654,9.772843737009026,0.24031582959858258,0.21413101905562765,3.897116938628559,3.897116938628559,mean,poisson_nll,0.9999999999999999
11,2024-03-25,2024-04-29,242.0,239.92721537050357,9.789836017268186,147.19829963805884,12.13253063618876,0.30080654469889484,0.2770616398041252,4.502730155230564,4.502730155230564,mean,poisson_nll,0.9999999999999999
12,2024-04-01,2024-05-06,257.0,198.0288004206826,10.779128929452224,207.34285270215761,14.399404595404548,0.33617286993162365,0.35805062194755666,5.703253886834428,5.703253886834428,mean,poisson_nll,0.9999999999999999
13,2024-04-08,2024-05-13,276.0,256.83548844735316,6.970757788014792,79.58869474252923,8.921249617768199,0.19394020908191736,0.19118903237839494,3.7271647601833306,3.7271647601833306,mean,poisson_nll,0.9999999999999999
14,2024-04-15,2024-05-20,275.0,366.680033761672,15.280005626945327,250.02219552335484,15.812090169340511,0.3449910582401566,0.3117452683096762,5.168529433024714,5.168529433024714,mean,poisson_nll,0.9999999999999999
15,2024-04-22,2024-05-27,275.0,268.16774389323393,7.414296571032394,73.10416629885636,8.550097443822285,0.1865475805924862,0.1729330888044417,3.5828391646705504,3.5828391646705504,mean,poisson_nll,0.9999999999999999
