model,poisson_nll,weighted_MAE,weighted_RMSE,seasonal_amplitude,seasonal_peak_week
non-seasonal,4.477547028840588,7.1422035330009175,8.204185754561108,0.0,
seasonal,3.9224787271299255,6.12235211311803,7.070226698768435,0.5753886179075816,14.575700882546661
