block_id,start_date,end_date,observed_total,predicted_total,mae,mean_squared_error,rmse,normalised_rmse,log_rmse,poisson_nll,objective,prediction_summary,objective_metric,window_weight
0,2024-01-08,2024-02-12,69.0,57.028574388307156,3.3573959096074892,14.69115638864987,3.8329044324963113,0.3330005623977291,0.3505618594563919,2.9319159940019777,2.9319159940019777,mean,poisson_nll,2.4499999999999997
1,2024-01-15,2024-02-19,71.0,80.21064895735019,2.127877370318901,7.263516417481514,2.6950911705323652,0.23509338447989162,0.22704711564412,2.4472698419016874,2.4472698419016874,mean,poisson_nll,1.6166666666666667
2,2024-01-22,2024-02-26,87.0,80.21064895735019,4.05924296548392,29.680549244187326,5.4479857969884,0.40648731237219654,0.31987618534471735,3.101936549207714,3.101936549207714,mean,poisson_nll,1.2833333333333332
3,2024-01-29,2024-03-04,105.0,66.30148560848725,6.431658108576346,74.57289044721952,8.635559648755807,0.5156706742126909,0.45935198043240677,4.604486083703964,4.604486083703964,mean,poisson_nll,1.1166666666666667
4,2024-02-05,2024-03-11,130.0,61.665043564011505,11.270634454716381,170.8600509175096,13.071344648409726,0.6084259521031554,0.689891042332317,7.809413107989497,7.809413107989497,mean,poisson_nll,1.0333333333333332
5,2024-02-12,2024-03-18,150.0,98.75582026899986,10.438284577452723,144.48365836356678,12.020135538485695,0.48080542153942774,0.4946713287149403,5.8835188523560875,5.8835188523560875,mean,poisson_nll,0.9999999999999999
6,2024-02-19,2024-03-25,167.0,80.21064895735019,14.464891840441634,249.07107882590398,15.781985896138165,0.5670174573462813,0.7087500118110157,9.21868512795294,9.21868512795294,mean,poisson_nll,0.9999999999999999
7,2024-02-26,2024-04-01,192.0,89.48328887226317,17.086118521289475,306.718365884314,17.513376769895462,0.5472930240592332,0.729301571698871,10.17031523316829,10.17031523316829,mean,poisson_nll,0.9999999999999999
8,2024-03-04,2024-04-08,222.0,154.3887298934929,11.503259421155429,237.60493185630327,15.414439070439874,0.41660646136323976,0.4106500782337454,6.302415002646852,6.302415002646852,mean,poisson_nll,0.9999999999999999
9,2024-03-11,2024-04-15,237.0,149.75280328901852,14.54119945183025,302.0883829924192,17.380689945811106,0.44001746698255956,0.4769720612690225,7.4664266577767515,7.4664266577767515,mean,poisson_nll,0.9999999999999999
10,2024-03-18,2024-04-22,244.0,177.56795603727096,11.40052313618959,213.87444805393358,14.624446931557227,0.3596175474973088,0.3676409902393321,5.771669848063381,5.771669848063381,mean,poisson_nll,0.9999999999999999
11,2024-03-25,2024-04-29,242.0,191.47516623076652,10.578042789946078,170.8132224525778,13.069553261400246,0.32403851061322925,0.3171076910540055,5.038153779354536,5.038153779354536,mean,poisson_nll,0.9999999999999999
12,2024-04-01,2024-05-06,257.0,159.02462937235367,16.329228437941058,322.6474580358155,17.96239009808593,0.41935541085025513,0.48138096039746053,7.6578172960026905,7.6578172960026905,mean,poisson_nll,0.9999999999999999
13,2024-04-08,2024-05-13,276.0,205.38213231394587,11.769644614342356,205.7969690000545,14.34562543077347,0.3118614224081189,0.3204962355816353,5.348664887067373,5.348664887067373,mean,poisson_nll,0.9999999999999999
14,2024-04-15,2024-05-20,275.0,293.4539158788385,11.066255188789748,139.155277764207,11.796409528505146,0.2573762078946577,0.2474816962612455,4.275906445055804,4.275906445055804,mean,poisson_nll,0.9999999999999999
15,2024-04-22,2024-05-27,275.0,219.28885429438603,10.910992772081258,193.03961388924463,13.893869651369435,0.3031389742116968,0.3063010429490389,5.162816567991629,5.162816567991629,mean,poisson_nll,0.9999999999999999
16,2024-04-29,2024-06-03,273.0,210.01773342957813,12.282206537747065,216.6496019189469,14.719021771807625,0.3234949839957719,0.33080493381473314,5.49854744138258,5.49854744138258,mean,poisson_nll,0.9999999999999999
17,2024-05-06,2024-06-10,271.0,182.2037198922722,14.799380017954636,306.1056774283995,17.495876012032078,0.3873625685320754,0.4180277629687142,6.904986385968101,6.904986385968101,mean,poisson_nll,0.9999999999999999
18,2024-05-13,2024-06-17,276.0,228.5598666724556,9.264853688699002,122.8159070474768,11.082233847355722,0.2409181271164287,0.2351833116265898,4.218710720391855,4.218710720391855,mean,poisson_nll,0.9999999999999999
19,2024-05-20,2024-06-24,271.0,293.4539158788385,7.455456375460409,76.86557829743865,8.767301654296984,0.1941099997261325,0.20367631813743559,3.689816917040553,3.689816917040553,mean,poisson_nll,0.9999999999999999
20,2024-05-27,2024-07-01,261.0,288.8188029206978,9.172358348191409,109.65461136205704,10.471609778924014,0.2407266615844601,0.23497038913528137,3.9958347825543,3.9958347825543,mean,poisson_nll,0.9999999999999999
21,2024-06-03,2024-07-08,284.0,219.28885429438603,13.74432610541459,266.3860378346116,16.321336888705275,0.34481697652194243,0.35311456748460507,6.00971367074911,6.00971367074911,mean,poisson_nll,0.9999999999999999
