stage,trial,objective,gamma,local_mixing,contact_scale,sick_contact_multiplier,sick_mobility_multiplier,seed_infections_per_week,initial_exposed_per_case,initial_infectious_per_case
initial_state_optimization,84,4.477547028840588,0.0573278867657486,0.2840867974733778,0.3311132242529514,0.6131405028377441,0.14945886653215776,6.021425722249178,2.396177839038679,0.4564485247613753
initial_state_optimization,83,4.477547029149133,0.0573278867657486,0.2840867974733778,0.3311132242529514,0.6131405028377441,0.14945886653215776,6.021425722249178,2.396216639508663,0.4564320981357957
initial_state_optimization,85,4.477547029221148,0.0573278867657486,0.2840867974733778,0.3311132242529514,0.6131405028377441,0.14945886653215776,6.021425722249178,2.3961390385692707,0.4564649513867112
initial_state_optimization,75,4.477547034797972,0.0573278867657486,0.2840867974733778,0.3311132242529514,0.6131405028377441,0.14945886653215776,6.021425722249178,2.396018516580104,0.45651597575809044
initial_state_optimization,76,4.477547046580049,0.0573278867657486,0.2840867974733778,0.3311132242529514,0.6131405028377441,0.14945886653215776,6.021425722249178,2.396018516580104,0.4568493091108813
initial_state_optimization,77,4.477547369017307,0.0573278867657486,0.2840867974733778,0.3311132242529514,0.6131405028377441,0.14945886653215776,6.021425722249178,2.396018516580104,0.45618264240529954
initial_state_optimization,82,4.477548024018105,0.0573278867657486,0.2840867974733778,0.3311132242529514,0.6131405028377441,0.14945886653215776,6.021425722249178,2.3982652625222376,0.45556479000237304
initial_state_optimization,81,4.477548225146249,0.0573278867657486,0.2840867974733778,0.3311132242529514,0.6131405028377441,0.14945886653215776,6.021425722249178,2.3984663188008732,0.45547967051255905
initial_state_optimization,62,4.477550350479094,0.0573278867657486,0.2840867974733778,0.3311132242529514,0.6131405028377441,0.14945886653215776,6.021425722249178,2.396018516580104,0.4552041492174645
initial_state_optimization,63,4.477550350750213,0.0573278867657486,0.2840867974733778,0.3311132242529514,0.6131405028377441,0.14945886653215776,6.021425722249178,2.395984263127993,0.4552186508106891
initial_state_optimization,60,4.477550350768928,0.0573278867657486,0.2840867974733778,0.3311132242529514,0.6131405028377441,0.14945886653215776,6.021425722249178,2.3960542338529094,0.4551890278988995
initial_state_optimization,59,4.477551342936816,0.0573278867657486,0.2840867974733778,0.3311132242529514,0.6131405028377441,0.14945886653215776,6.021425722249178,2.398100184766808,0.45432285102963166
initial_state_optimization,58,4.477551379655549,0.0573278867657486,0.2840867974733778,0.3311132242529514,0.6131405028377441,0.14945886653215776,6.021425722249178,2.39813834348655,0.45430669609640384
initial_state_optimization,74,4.477570024860841,0.0573278867657486,0.2840867974733778,0.3311132242529514,0.6131405028377441,0.14945886653215776,6.021425722249178,2.396018516580104,0.45282905052609834
initial_state_optimization,54,4.477593050701645,0.0573278867657486,0.2840867974733778,0.3311132242529514,0.6131405028377441,0.14945886653215776,6.021425722249178,2.382372292240755,0.46098143536606506
initial_state_optimization,73,4.478217756859326,0.0573278867657486,0.2840867974733778,0.3311132242529514,0.6131405028377441,0.14945886653215776,6.021425722249178,2.396018516580104,0.47754573380412074
initial_state_optimization,61,4.479663118837656,0.0573278867657486,0.2840867974733778,0.3311132242529514,0.6131405028377441,0.14945886653215776,6.021425722249178,2.3002897538186935,0.49573202281612994
initial_state_optimization,72,4.479858691674618,0.0573278867657486,0.2840867974733778,0.3311132242529514,0.6131405028377441,0.14945886653215776,6.021425722249178,2.396018516580104,0.4956080678738501
initial_state_optimization,51,4.480678538232444,0.0573278867657486,0.2840867974733778,0.3311132242529514,0.6131405028377441,0.14945886653215776,6.021425722249178,2.2796171154440574,0.5044840222239391
initial_state_optimization,52,4.480678635057364,0.0573278867657486,0.2840867974733778,0.3311132242529514,0.6131405028377441,0.14945886653215776,6.021425722249178,2.2796171154440574,0.50481735620252
initial_state_optimization,53,4.480678778806487,0.0573278867657486,0.2840867974733778,0.3311132242529514,0.6131405028377441,0.14945886653215776,6.021425722249178,2.2796171154440574,0.504150688245358
initial_state_optimization,50,4.48068442164547,0.0573278867657486,0.2840867974733778,0.3311132242529514,0.6131405028377441,0.14945886653215776,6.021425722249178,2.2796171154440574,0.5025861238117205
initial_state_optimization,49,4.480938376493274,0.0573278867657486,0.2840867974733778,0.3311132242529514,0.6131405028377441,0.14945886653215776,6.021425722249178,2.2796171154440574,0.5176827475828019
initial_state_optimization,48,4.4817521315371565,0.0573278867657486,0.2840867974733778,0.3311132242529514,0.6131405028377441,0.14945886653215776,6.021425722249178,2.2796171154440574,0.5313332097289971
initial_state_optimization,38,4.483478851164083,0.0573278867657486,0.2840867974733778,0.3311132242529514,0.6131405028377441,0.14945886653215776,6.021425722249178,2.2796171154440574,0.5479866090818131
initial_state_optimization,37,4.483478859465246,0.0573278867657486,0.2840867974733778,0.3311132242529514,0.6131405028377441,0.14945886653215776,6.021425722249178,2.2799504503064405,0.5479866090818131
initial_state_optimization,39,4.483478950932366,0.0573278867657486,0.2840867974733778,0.3311132242529514,0.6131405028377441,0.14945886653215776,6.021425722249178,2.2792837805866184,0.5479866090818131
initial_state_optimization,36,4.483480004748848,0.0573278867657486,0.2840867974733778,0.3311132242529514,0.6131405028377441,0.14945886653215776,6.021425722249178,2.27821170391442,0.5479866090818131
initial_state_optimization,35,4.483707899123217,0.0573278867657486,0.2840867974733778,0.3311132242529514,0.6131405028377441,0.14945886653215776,6.021425722249178,2.2580943724986713,0.5479866090818131
initial_state_optimization,34,4.4882269492945825,0.0573278867657486,0.2840867974733778,0.3311132242529514,0.6131405028377441,0.14945886653215776,6.021425722249178,2.379399405207527,0.5479866090818131
initial_state_optimization,24,4.488718775181485,0.0573278867657486,0.2840867974733778,0.3311132242529514,0.6131405028377441,0.14945886653215776,6.021425722249178,2.17686193864736,0.5479866090818131
initial_state_optimization,25,4.4887189080928005,0.0573278867657486,0.2840867974733778,0.3311132242529514,0.6131405028377441,0.14945886653215776,6.021425722249178,2.17686193864736,0.5483199436628308
initial_state_optimization,26,4.4887189721513385,0.0573278867657486,0.2840867974733778,0.3311132242529514,0.6131405028377441,0.14945886653215776,6.021425722249178,2.17686193864736,0.5476532745007954
initial_state_optimization,23,4.4887202547852825,0.0573278867657486,0.2840867974733778,0.3311132242529514,0.6131405028377441,0.14945886653215776,6.021425722249178,2.17686193864736,0.5470202873627114
initial_state_optimization,22,4.488814653643718,0.0573278867657486,0.2840867974733778,0.3311132242529514,0.6131405028377441,0.14945886653215776,6.021425722249178,2.17686193864736,0.5560723698280615
initial_state_optimization,21,4.489260321575305,0.0573278867657486,0.2840867974733778,0.3311132242529514,0.6131405028377441,0.14945886653215776,6.021425722249178,2.17686193864736,0.5672125125558521
initial_state_optimization,79,4.491972335038839,0.0573278867657486,0.2840867974733778,0.3311132242529514,0.6131405028377441,0.14945886653215776,6.021425722249178,2.147254608229989,0.561833039749098
initial_state_optimization,56,4.492195622850412,0.0573278867657486,0.2840867974733778,0.3311132242529514,0.6131405028377441,0.14945886653215776,6.021425722249178,2.145339570208371,0.5613319665979231
initial_state_optimization,57,4.4923029730632535,0.0573278867657486,0.2840867974733778,0.3311132242529514,0.6131405028377441,0.14945886653215776,6.021425722249178,2.6517855435977293,0.3469222343293372
initial_state_optimization,80,4.492538255722133,0.0573278867657486,0.2840867974733778,0.3311132242529514,0.6131405028377441,0.14945886653215776,6.021425722249178,2.654152660771946,0.3472319145676133
initial_state_optimization,11,4.4987872275936365,0.0573278867657486,0.2840867974733778,0.3311132242529514,0.6131405028377441,0.14945886653215776,6.021425722249178,2.17686193864736,0.6321054722858884
initial_state_optimization,12,4.498787283545695,0.0573278867657486,0.2840867974733778,0.3311132242529514,0.6131405028377441,0.14945886653215776,6.021425722249178,2.176528604621493,0.6321054722858884
initial_state_optimization,10,4.498787294895574,0.0573278867657486,0.2840867974733778,0.3311132242529514,0.6131405028377441,0.14945886653215776,6.021425722249178,2.177238363045579,0.6321054722858884
initial_state_optimization,9,4.498789841151193,0.0573278867657486,0.2840867974733778,0.3311132242529514,0.6131405028377441,0.14945886653215776,6.021425722249178,2.1745542865827896,0.6321054722858884
initial_state_optimization,8,4.499277560172252,0.0573278867657486,0.2840867974733778,0.3311132242529514,0.6131405028377441,0.14945886653215776,6.021425722249178,2.1452675778929464,0.6321054722858884
initial_state_optimization,0,4.499843325097624,0.0573278867657486,0.2840867974733778,0.3311132242529514,0.6131405028377441,0.14945886653215776,6.021425722249178,2.2235525242861516,0.6321054722858884
refinement,73,4.499843325097624,0.0573278867657486,0.2840867974733778,0.3311132242529514,0.6131405028377441,0.14945886653215776,6.021425722249178,2.2235525242861516,0.6321054722858884
initial_state_optimization,7,4.506979884300374,0.0573278867657486,0.2840867974733778,0.3311132242529514,0.6131405028377441,0.14945886653215776,6.021425722249178,2.307815573498294,0.6321054722858884
initial_state_optimization,27,4.510919665160036,0.0573278867657486,0.2840867974733778,0.3311132242529514,0.6131405028377441,0.14945886653215776,6.021425722249178,2.1301713530085684,0.4638677458777377
initial_state_optimization,19,4.516215347408838,0.0573278867657486,0.2840867974733778,0.3311132242529514,0.6131405028377441,0.14945886653215776,6.021425722249178,2.17686193864736,0.6888370749726607
initial_state_optimization,33,4.51637286899655,0.0573278867657486,0.2840867974733778,0.3311132242529514,0.6131405028377441,0.14945886653215776,6.021425722249178,2.5455867155502507,0.5479866090818131
initial_state_optimization,46,4.527795252722775,0.0573278867657486,0.2840867974733778,0.3311132242529514,0.6131405028377441,0.14945886653215776,6.021425722249178,2.2796171154440574,0.6888370749726607
initial_state_optimization,6,4.546368618934944,0.0573278867657486,0.2840867974733778,0.3311132242529514,0.6131405028377441,0.14945886653215776,6.021425722249178,2.4973351384473137,0.6321054722858884
initial_state_optimization,70,4.552366746595669,0.0573278867657486,0.2840867974733778,0.3311132242529514,0.6131405028377441,0.14945886653215776,6.021425722249178,2.396018516580104,0.6888370749726608
initial_state_optimization,20,4.562076900261871,0.0573278867657486,0.2840867974733778,0.3311132242529514,0.6131405028377441,0.14945886653215776,6.021425722249178,2.17686193864736,0.3383450958133972
initial_state_optimization,47,4.594156574925917,0.0573278867657486,0.2840867974733778,0.3311132242529514,0.6131405028377441,0.14945886653215776,6.021425722249178,2.2796171154440574,0.25076328194197584
refinement,72,4.596791334874103,0.06407606765803146,0.3303023273666536,0.24064257909085315,0.6251242021582131,0.16184726159304583,7.472846008334164,2.585691187049926,0.5175122878939376
initial_state_optimization,71,4.6555541368439,0.0573278867657486,0.2840867974733778,0.3311132242529514,0.6131405028377441,0.14945886653215776,6.021425722249178,2.396018516580104,0.14934855628815513
initial_state_optimization,31,4.662524346959857,0.0573278867657486,0.2840867974733778,0.3311132242529514,0.6131405028377441,0.14945886653215776,6.021425722249178,2.9179606750063094,0.5479866090818131
refinement,71,4.673104542614981,0.06549188352870577,0.33623306255219965,0.2621219128949411,0.4861411858251702,0.15000567651523714,8.181976641300075,2.2091351405760933,0.7053564337304662
refinement,75,4.674230334996925,0.07949223130657994,0.2905375448204812,0.27111013149158114,0.5752207485165517,0.17350522401417212,6.709466221061551,1.6197277913763581,0.7894062817510576
refinement,56,4.686406610279069,0.07808628203240495,0.36343643358115163,0.3006760454355833,0.402698916680486,0.13158612619363438,7.42431876109235,1.3988262500786093,0.7424194266668277
initial_state_optimization,4,4.737437878609314,0.0573278867657486,0.2840867974733778,0.3311132242529514,0.6131405028377441,0.14945886653215776,6.021425722249178,2.917960675006309,0.6321054722858884
initial_state_optimization,78,4.7626266887100845,0.0573278867657486,0.2840867974733778,0.3311132242529514,0.6131405028377441,0.14945886653215776,6.021425722249178,1.3270763303859727,0.9090649543167113
initial_state_optimization,55,4.763468621218257,0.0573278867657486,0.2840867974733778,0.3311132242529514,0.6131405028377441,0.14945886653215776,6.021425722249178,1.3258927717988644,0.9082542009272603
refinement,66,4.818929099716043,0.06910346218049439,0.5031466649833297,0.21737102615748807,0.39296775196577166,0.11595491931957479,7.574994455104018,1.8577257657886264,0.9720623222290202
refinement,65,4.856830078214457,0.05555555555555555,0.3143822312580668,0.32730388547117883,0.33591633654581027,0.13323366104753034,6.042085520209712,2.026484708765332,0.46884001856211777
initial_state_optimization,18,4.863703756447617,0.0573278867657486,0.2840867974733778,0.3311132242529514,0.6131405028377441,0.14945886653215776,6.021425722249178,2.17686193864736,1.1145618000168245
refinement,57,4.87416434176632,0.07956092181584534,0.3635000106781729,0.3371406069452366,0.4432345109699678,0.10103552779707121,6.254685073190007,1.780009561222064,0.7231810967168383
