parameter,existing_poisson_search,gradient_lbfgsb,absolute_change
gamma,0.09060090398442441,0.05555555555555555,-0.03504534842886886
local_mixing,0.5723867923660585,0.8029068792346806,0.23052008686862213
contact_scale,0.3967938189939758,0.11914265524570927,-0.27765116374826654
sick_contact_multiplier,0.13945270573877164,0.6436645229988501,0.5042118172600785
sick_mobility_multiplier,0.09211275726834339,0.07560686298525703,-0.016505894283086367
seed_infections_per_week,8.223767533121844,29.40915868958228,21.185391156460437
initial_exposed_per_case,1.509804699047879,2.762033973340235,1.2522292742923558
initial_infectious_per_case,0.4739791511796818,0.4072907502830374,-0.0666884008966444
