stage,trial,objective,gamma,local_mixing,contact_scale,sick_contact_multiplier,sick_mobility_multiplier,seed_infections_per_week,initial_exposed_per_case,initial_infectious_per_case,seasonal_amplitude,seasonal_peak_week
initial_state_optimization,55,3.3045878659178656,0.06624227000185925,0.3783565819036944,0.1580457334206414,0.6624609982687012,0.13928277163505207,5.219499270486237,2.0008168674898923,0.43050125923906507,0.6,13.433982740528194
initial_state_optimization,56,3.3045878659386507,0.06624227000185925,0.3783565819036944,0.1580457334206414,0.6624609982687012,0.13928277163505207,5.219499270486237,2.0008057525948306,0.43050215025335153,0.6,13.433982740528194
initial_state_optimization,57,3.304587865962468,0.06624227000185925,0.3783565819036944,0.1580457334206414,0.6624609982687012,0.13928277163505207,5.219499270486237,2.0008279823849535,0.4305003682247786,0.6,13.433982740528194
initial_state_optimization,54,3.304587871518037,0.06624227000185925,0.3783565819036944,0.1580457334206414,0.6624609982687012,0.13928277163505207,5.219499270486237,2.0009603291729725,0.43048975877878365,0.6,13.433982740528194
initial_state_optimization,53,3.3045882945405913,0.06624227000185925,0.3783565819036944,0.1580457334206414,0.6624609982687012,0.13928277163505207,5.219499270486237,1.999542322573439,0.4306034318392593,0.6,13.433982740528194
initial_state_optimization,45,3.3046358207397417,0.06624227000185925,0.3783565819036944,0.1580457334206414,0.6624609982687012,0.13928277163505207,5.219499270486237,2.0142914329393986,0.42942108436983045,0.6,13.433982740528194
initial_state_optimization,46,3.304635940788738,0.06624227000185925,0.3783565819036944,0.1580457334206414,0.6624609982687012,0.13928277163505207,5.219499270486237,2.0142914329393986,0.42908775088284973,0.6,13.433982740528194
initial_state_optimization,47,3.304635946952961,0.06624227000185925,0.3783565819036944,0.1580457334206414,0.6624609982687012,0.13928277163505207,5.219499270486237,2.0142914329393986,0.42975441785681123,0.6,13.433982740528194
initial_state_optimization,42,3.3046509607014527,0.06624227000185925,0.3783565819036944,0.1580457334206414,0.6624609982687012,0.13928277163505207,5.219499270486237,2.0142914329393986,0.4257247250441639,0.6,13.433982740528194
initial_state_optimization,44,3.3046510448951816,0.06624227000185925,0.3783565819036944,0.1580457334206414,0.6624609982687012,0.13928277163505207,5.219499270486237,2.0142914329393986,0.4331274222590497,0.6,13.433982740528194
initial_state_optimization,52,3.3047067912015478,0.06624227000185925,0.3783565819036944,0.1580457334206414,0.6624609982687012,0.13928277163505207,5.219499270486237,2.022051337743234,0.4287990194736996,0.6,13.433982740528194
initial_state_optimization,33,3.3047553755912285,0.06624227000185925,0.3783565819036944,0.1580457334206414,0.6624609982687012,0.13928277163505207,5.219499270486237,2.0142914329393986,0.4190621765704579,0.6,13.433982740528194
initial_state_optimization,34,3.3047553773783296,0.06624227000185925,0.3783565819036944,0.1580457334206414,0.6624609982687012,0.13928277163505207,5.219499270486237,2.0142078015723586,0.4190688807941522,0.6,13.433982740528194
initial_state_optimization,32,3.304755378331799,0.06624227000185925,0.3783565819036944,0.1580457334206414,0.6624609982687012,0.13928277163505207,5.219499270486237,2.0143918565761387,0.419054126211499,0.6,13.433982740528194
initial_state_optimization,31,3.304755587286939,0.06624227000185925,0.3783565819036944,0.1580457334206414,0.6624609982687012,0.13928277163505207,5.219499270486237,2.0133952515074056,0.4191340180457724,0.6,13.433982740528194
