block_id,start_date,end_date,observed_total,predicted_total,mae,mean_squared_error,rmse,normalised_rmse,log_rmse,poisson_nll,objective,prediction_summary,objective_metric,window_weight
0,2024-08-12,2024-09-16,109.0,127.7317649743457,4.3627477399434875,22.76499301709079,4.77126744346728,0.21647417104620065,0.17967026413781703,2.8684511075402988,2.8684511075402988,mean,poisson_nll,2.4499999999999997
1,2024-08-19,2024-09-23,86.0,100.68422715452861,3.2704752653042592,14.215385180388758,3.770329585114378,0.23443716010006074,0.2200503876735156,2.669929925298938,2.669929925298938,mean,poisson_nll,1.6166666666666667
2,2024-08-26,2024-09-30,72.0,77.469381201866,1.6774231258355965,4.08748363046356,2.0217526135666453,0.15567495124463165,0.18847292865495993,2.3645887770108054,2.3645887770108054,mean,poisson_nll,1.2833333333333332
3,2024-09-02,2024-10-07,61.0,65.90432481897255,1.5746972760070663,3.8533085813019485,1.9629846105616693,0.18266662348282203,0.2124578233158151,2.2902601341931517,2.2902601341931517,mean,poisson_nll,1.1166666666666667
4,2024-09-09,2024-10-14,50.0,62.81359796485824,2.1893677957413464,6.5185277837507645,2.5531407684949072,0.298669297446574,0.29776196010990275,2.3582029204600516,2.3582029204600516,mean,poisson_nll,1.0333333333333332
5,2024-09-16,2024-10-21,40.0,59.92880661230634,3.321467768717723,12.04410472944327,3.470461745855048,0.5205692618782573,0.38964552397182023,2.5542055586986194,2.5542055586986194,mean,poisson_nll,0.9999999999999999
6,2024-09-23,2024-10-28,35.0,49.18984100862763,2.3649735014379396,6.526702282338959,2.5547411380292444,0.4379556236621561,0.31404752541182734,2.2360570969938136,2.2360570969938136,mean,poisson_nll,0.9999999999999999
7,2024-09-30,2024-11-04,34.0,35.883516325856924,0.7769982867512183,0.8074868519848173,0.898602721999448,0.15857695094107904,0.13312792521689654,1.8661265037452763,1.8661265037452763,mean,poisson_nll,0.9999999999999999
8,2024-10-07,2024-11-11,28.0,38.74380641504497,1.7906344025074958,6.025193388602191,2.4546269347096703,0.525991486009215,0.5582636672761296,2.33429261642513,2.33429261642513,mean,poisson_nll,0.9999999999999999
9,2024-10-14,2024-11-18,26.0,36.284445555337406,1.7225568498454016,5.895700008193821,2.428106259658712,0.560332213767395,0.5566739929272717,2.3011750299123137,2.3011750299123137,mean,poisson_nll,0.9999999999999999
10,2024-10-21,2024-11-25,26.0,33.84360040908008,1.5962562448450592,5.021668380949959,2.2409079367412574,0.517132600786444,0.5302799370804295,2.22886669160458,2.22886669160458,mean,poisson_nll,0.9999999999999999
11,2024-10-28,2024-12-02,24.0,34.19324938169601,2.0554489565150607,6.453967936501428,2.540466086469455,0.6351165216173636,0.5721866488578625,2.3344101601041927,2.3344101601041927,mean,poisson_nll,0.9999999999999999
12,2024-11-04,2024-12-09,22.0,37.46216468325086,2.5770274472084775,8.50606811508657,2.9165164349076744,0.7954135731566384,0.6205234920421724,2.47628823636386,2.47628823636386,mean,poisson_nll,0.9999999999999999
13,2024-11-11,2024-12-16,19.0,35.08507375784163,2.6808456263069376,9.112175475625278,3.0186380166600433,0.9532541105242242,0.6595768063366216,2.517792032881497,2.517792032881497,mean,poisson_nll,0.9999999999999999
14,2024-11-18,2024-12-23,22.0,23.674313188914276,1.9178409126534433,4.578169184009356,2.1396656710826005,0.5835451830225273,0.49576639611829165,2.2758432256520065,2.2758432256520065,mean,poisson_nll,0.9999999999999999
15,2024-11-25,2024-12-30,22.0,33.14758077357743,2.1667732798156845,5.654705740967283,2.3779625188314646,0.6485352324085812,0.45582407234214983,2.163438826203228,2.163438826203228,mean,poisson_nll,0.9999999999999999
16,2024-12-02,2025-01-06,19.0,36.8552205599177,2.975870093319617,10.483043469535344,3.2377528425646305,1.0224482660730412,0.6203965048682233,2.5551693025806324,2.5551693025806324,mean,poisson_nll,0.9999999999999999
17,2024-12-09,2025-01-13,21.0,31.048078996691043,1.9424867297700372,5.071785080713929,2.252062406043387,0.6434464017266819,0.4625468820452744,2.1080374658225756,2.1080374658225756,mean,poisson_nll,0.9999999999999999
18,2024-12-16,2025-01-20,21.0,34.9162149113569,2.319369151892817,6.6686883144713045,2.582380358210483,0.7378229594887095,0.4981898306871911,2.230899461075704,2.230899461075704,mean,poisson_nll,0.9999999999999999
19,2024-12-23,2025-01-27,21.0,28.658466020664097,2.0177946959963995,6.233190519339697,2.4966358403539144,0.7133245258154041,0.5169356933626987,2.248761853581493,2.248761853581493,mean,poisson_nll,0.9999999999999999
20,2024-12-30,2025-02-03,22.0,36.217578091920636,2.369596348653439,8.239160451128146,2.8703937798023715,0.7828346672188284,0.5451296117612122,2.375643876497424,2.375643876497424,mean,poisson_nll,0.9999999999999999
21,2025-01-06,2025-02-10,21.0,36.87826703184018,2.652721991734992,9.901181989051254,3.1466143692946003,0.8990326769413143,0.5797322534771657,2.4858183968439005,2.4858183968439005,mean,poisson_nll,0.9999999999999999
22,2025-01-13,2025-02-17,24.0,30.71903236186481,2.1308706110928624,5.879257773858542,2.424718081315546,0.6061795203288863,0.4730524866894724,2.2754863903989158,2.2754863903989158,mean,poisson_nll,0.9999999999999999
