model,poisson_nll,weighted_MAE,weighted_RMSE,weighted_bias,seasonal_amplitude,seasonal_peak_week
non-seasonal,3.973249290678706,5.610411194213115,7.438839315240937,2.605672624831766,0.0,
seasonal,3.3045878659178656,4.031277157257362,5.772970191051313,-0.1237664410693112,0.6,13.433982740528194
